Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEApD_21pts_ZigZag1.json,380,424,100,100
NMEApD_21pts_ZigZag1.json,380,426,100,110
NMEApD_21pts_ZigZag1.json,380,429,100,120
NMEApD_21pts_ZigZag1.json,380,431,100,130
NMEApD_21pts_ZigZag1.json,380,434,100,140
NMEApD_21pts_ZigZag1.json,380,436,100,150
NMEApD_21pts_ZigZag1.json,380,439,100,160
NMEApD_21pts_ZigZag1.json,380,441,100,170
NMEApD_21pts_ZigZag1.json,380,444,100,180
NMEApD_21pts_ZigZag1.json,380,446,100,190
NMEApD_21pts_ZigZag1.json,380,449,100,200
NMEApD_21pts_ZigZag1.json,380,451,100,210
NMEApD_21pts_ZigZag1.json,380,454,100,220
NMEApD_21pts_ZigZag1.json,380,456,100,230
NMEApD_21pts_ZigZag1.json,380,459,100,240
NMEApD_21pts_ZigZag1.json,380,461,100,250
NMEApD_21pts_ZigZag1.json,380,424,110,100
NMEApD_21pts_ZigZag1.json,380,426,110,110
NMEApD_21pts_ZigZag1.json,380,429,110,120
NMEApD_21pts_ZigZag1.json,380,431,110,130
NMEApD_21pts_ZigZag1.json,380,434,110,140
NMEApD_21pts_ZigZag1.json,380,436,110,150
NMEApD_21pts_ZigZag1.json,380,439,110,160
NMEApD_21pts_ZigZag1.json,380,441,110,170
NMEApD_21pts_ZigZag1.json,380,444,110,180
NMEApD_21pts_ZigZag1.json,380,446,110,190
NMEApD_21pts_ZigZag1.json,380,449,110,200
NMEApD_21pts_ZigZag1.json,380,451,110,210
NMEApD_21pts_ZigZag1.json,380,454,110,220
NMEApD_21pts_ZigZag1.json,380,456,110,230
NMEApD_21pts_ZigZag1.json,380,459,110,240
NMEApD_21pts_ZigZag1.json,380,461,110,250
NMEApD_21pts_ZigZag1.json,380,424,120,100
NMEApD_21pts_ZigZag1.json,380,426,120,110
NMEApD_21pts_ZigZag1.json,380,429,120,120
NMEApD_21pts_ZigZag1.json,380,431,120,130
NMEApD_21pts_ZigZag1.json,380,434,120,140
NMEApD_21pts_ZigZag1.json,380,436,120,150
NMEApD_21pts_ZigZag1.json,380,439,120,160
NMEApD_21pts_ZigZag1.json,380,441,120,170
NMEApD_21pts_ZigZag1.json,380,444,120,180
NMEApD_21pts_ZigZag1.json,380,446,120,190
NMEApD_21pts_ZigZag1.json,380,449,120,200
NMEApD_21pts_ZigZag1.json,380,451,120,210
NMEApD_21pts_ZigZag1.json,380,454,120,220
NMEApD_21pts_ZigZag1.json,380,456,120,230
NMEApD_21pts_ZigZag1.json,380,459,120,240
NMEApD_21pts_ZigZag1.json,380,461,120,250
NMEApD_21pts_ZigZag1.json,380,438,130,100
NMEApD_21pts_ZigZag1.json,380,441,130,110
NMEApD_21pts_ZigZag1.json,380,443,130,120
NMEApD_21pts_ZigZag1.json,380,446,130,130
NMEApD_21pts_ZigZag1.json,380,448,130,140
NMEApD_21pts_ZigZag1.json,380,451,130,150
NMEApD_21pts_ZigZag1.json,380,453,130,160
NMEApD_21pts_ZigZag1.json,380,456,130,170
NMEApD_21pts_ZigZag1.json,380,458,130,180
NMEApD_21pts_ZigZag1.json,380,461,130,190
NMEApD_21pts_ZigZag1.json,380,463,130,200
NMEApD_21pts_ZigZag1.json,380,466,130,210
NMEApD_21pts_ZigZag1.json,380,468,130,220
NMEApD_21pts_ZigZag1.json,380,471,130,230
NMEApD_21pts_ZigZag1.json,380,473,130,240
NMEApD_21pts_ZigZag1.json,380,476,130,250
NMEApD_21pts_ZigZag1.json,380,438,140,100
NMEApD_21pts_ZigZag1.json,380,441,140,110
NMEApD_21pts_ZigZag1.json,380,443,140,120
NMEApD_21pts_ZigZag1.json,380,446,140,130
NMEApD_21pts_ZigZag1.json,380,448,140,140
NMEApD_21pts_ZigZag1.json,380,451,140,150
NMEApD_21pts_ZigZag1.json,380,453,140,160
NMEApD_21pts_ZigZag1.json,380,456,140,170
NMEApD_21pts_ZigZag1.json,380,458,140,180
NMEApD_21pts_ZigZag1.json,380,461,140,190
NMEApD_21pts_ZigZag1.json,380,463,140,200
NMEApD_21pts_ZigZag1.json,380,466,140,210
NMEApD_21pts_ZigZag1.json,380,468,140,220
NMEApD_21pts_ZigZag1.json,380,471,140,230
NMEApD_21pts_ZigZag1.json,380,473,140,240
NMEApD_21pts_ZigZag1.json,380,476,140,250
NMEApD_21pts_ZigZag1.json,380,438,150,100
NMEApD_21pts_ZigZag1.json,380,441,150,110
NMEApD_21pts_ZigZag1.json,380,443,150,120
NMEApD_21pts_ZigZag1.json,380,446,150,130
NMEApD_21pts_ZigZag1.json,380,448,150,140
NMEApD_21pts_ZigZag1.json,380,451,150,150
NMEApD_21pts_ZigZag1.json,380,453,150,160
NMEApD_21pts_ZigZag1.json,380,456,150,170
NMEApD_21pts_ZigZag1.json,380,458,150,180
NMEApD_21pts_ZigZag1.json,380,461,150,190
NMEApD_21pts_ZigZag1.json,380,463,150,200
NMEApD_21pts_ZigZag1.json,380,466,150,210
NMEApD_21pts_ZigZag1.json,380,468,150,220
NMEApD_21pts_ZigZag1.json,380,471,150,230
NMEApD_21pts_ZigZag1.json,380,473,150,240
NMEApD_21pts_ZigZag1.json,380,476,150,250
NMEApD_21pts_ZigZag1.json,380,438,160,100
NMEApD_21pts_ZigZag1.json,380,441,160,110
NMEApD_21pts_ZigZag1.json,380,443,160,120
NMEApD_21pts_ZigZag1.json,380,446,160,130
NMEApD_21pts_ZigZag1.json,380,448,160,140
NMEApD_21pts_ZigZag1.json,380,451,160,150
NMEApD_21pts_ZigZag1.json,380,453,160,160
NMEApD_21pts_ZigZag1.json,380,456,160,170
NMEApD_21pts_ZigZag1.json,380,458,160,180
NMEApD_21pts_ZigZag1.json,380,461,160,190
NMEApD_21pts_ZigZag1.json,380,463,160,200
NMEApD_21pts_ZigZag1.json,380,466,160,210
NMEApD_21pts_ZigZag1.json,380,468,160,220
NMEApD_21pts_ZigZag1.json,380,471,160,230
NMEApD_21pts_ZigZag1.json,380,473,160,240
NMEApD_21pts_ZigZag1.json,380,476,160,250
NMEApD_21pts_ZigZag1.json,380,438,170,100
NMEApD_21pts_ZigZag1.json,380,441,170,110
NMEApD_21pts_ZigZag1.json,380,443,170,120
NMEApD_21pts_ZigZag1.json,380,446,170,130
NMEApD_21pts_ZigZag1.json,380,448,170,140
NMEApD_21pts_ZigZag1.json,380,451,170,150
NMEApD_21pts_ZigZag1.json,380,453,170,160
NMEApD_21pts_ZigZag1.json,380,456,170,170
NMEApD_21pts_ZigZag1.json,380,458,170,180
NMEApD_21pts_ZigZag1.json,380,461,170,190
NMEApD_21pts_ZigZag1.json,380,463,170,200
NMEApD_21pts_ZigZag1.json,380,466,170,210
NMEApD_21pts_ZigZag1.json,380,468,170,220
NMEApD_21pts_ZigZag1.json,380,471,170,230
NMEApD_21pts_ZigZag1.json,380,473,170,240
NMEApD_21pts_ZigZag1.json,380,476,170,250
NMEApD_21pts_ZigZag1.json,380,438,180,100
NMEApD_21pts_ZigZag1.json,380,441,180,110
NMEApD_21pts_ZigZag1.json,380,443,180,120
NMEApD_21pts_ZigZag1.json,380,446,180,130
NMEApD_21pts_ZigZag1.json,380,448,180,140
NMEApD_21pts_ZigZag1.json,380,451,180,150
NMEApD_21pts_ZigZag1.json,380,453,180,160
NMEApD_21pts_ZigZag1.json,380,456,180,170
NMEApD_21pts_ZigZag1.json,380,458,180,180
NMEApD_21pts_ZigZag1.json,380,461,180,190
NMEApD_21pts_ZigZag1.json,380,463,180,200
NMEApD_21pts_ZigZag1.json,380,466,180,210
NMEApD_21pts_ZigZag1.json,380,468,180,220
NMEApD_21pts_ZigZag1.json,380,471,180,230
NMEApD_21pts_ZigZag1.json,380,473,180,240
NMEApD_21pts_ZigZag1.json,380,476,180,250
NMEApD_21pts_ZigZag1.json,380,438,190,100
NMEApD_21pts_ZigZag1.json,380,441,190,110
NMEApD_21pts_ZigZag1.json,380,443,190,120
NMEApD_21pts_ZigZag1.json,380,446,190,130
NMEApD_21pts_ZigZag1.json,380,448,190,140
NMEApD_21pts_ZigZag1.json,380,451,190,150
NMEApD_21pts_ZigZag1.json,380,453,190,160
