Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEApD_50pts_ZigZag.json,670,640,100,100
NMEApD_50pts_ZigZag.json,670,642,100,110
NMEApD_50pts_ZigZag.json,670,645,100,120
NMEApD_50pts_ZigZag.json,670,647,100,130
NMEApD_50pts_ZigZag.json,670,650,100,140
NMEApD_50pts_ZigZag.json,670,652,100,150
NMEApD_50pts_ZigZag.json,670,655,100,160
NMEApD_50pts_ZigZag.json,670,657,100,170
NMEApD_50pts_ZigZag.json,670,660,100,180
NMEApD_50pts_ZigZag.json,670,662,100,190
NMEApD_50pts_ZigZag.json,670,665,100,200
NMEApD_50pts_ZigZag.json,670,667,100,210
NMEApD_50pts_ZigZag.json,670,670,100,220
NMEApD_50pts_ZigZag.json,670,672,100,230
NMEApD_50pts_ZigZag.json,670,675,100,240
NMEApD_50pts_ZigZag.json,670,677,100,250
NMEApD_50pts_ZigZag.json,670,640,110,100
NMEApD_50pts_ZigZag.json,670,642,110,110
NMEApD_50pts_ZigZag.json,670,645,110,120
NMEApD_50pts_ZigZag.json,670,647,110,130
NMEApD_50pts_ZigZag.json,670,650,110,140
NMEApD_50pts_ZigZag.json,670,652,110,150
NMEApD_50pts_ZigZag.json,670,655,110,160
NMEApD_50pts_ZigZag.json,670,657,110,170
NMEApD_50pts_ZigZag.json,670,660,110,180
NMEApD_50pts_ZigZag.json,670,662,110,190
NMEApD_50pts_ZigZag.json,670,665,110,200
NMEApD_50pts_ZigZag.json,670,667,110,210
NMEApD_50pts_ZigZag.json,670,670,110,220
NMEApD_50pts_ZigZag.json,670,672,110,230
NMEApD_50pts_ZigZag.json,670,675,110,240
NMEApD_50pts_ZigZag.json,670,677,110,250
NMEApD_50pts_ZigZag.json,670,640,120,100
NMEApD_50pts_ZigZag.json,670,642,120,110
NMEApD_50pts_ZigZag.json,670,645,120,120
NMEApD_50pts_ZigZag.json,670,647,120,130
NMEApD_50pts_ZigZag.json,670,650,120,140
NMEApD_50pts_ZigZag.json,670,652,120,150
NMEApD_50pts_ZigZag.json,670,655,120,160
NMEApD_50pts_ZigZag.json,670,657,120,170
NMEApD_50pts_ZigZag.json,670,660,120,180
NMEApD_50pts_ZigZag.json,670,662,120,190
NMEApD_50pts_ZigZag.json,670,665,120,200
NMEApD_50pts_ZigZag.json,670,667,120,210
NMEApD_50pts_ZigZag.json,670,670,120,220
NMEApD_50pts_ZigZag.json,670,672,120,230
NMEApD_50pts_ZigZag.json,670,675,120,240
NMEApD_50pts_ZigZag.json,670,677,120,250
NMEApD_50pts_ZigZag.json,670,662,130,100
NMEApD_50pts_ZigZag.json,670,665,130,110
NMEApD_50pts_ZigZag.json,670,667,130,120
NMEApD_50pts_ZigZag.json,670,670,130,130
NMEApD_50pts_ZigZag.json,670,672,130,140
NMEApD_50pts_ZigZag.json,670,675,130,150
NMEApD_50pts_ZigZag.json,670,677,130,160
NMEApD_50pts_ZigZag.json,670,680,130,170
NMEApD_50pts_ZigZag.json,670,682,130,180
NMEApD_50pts_ZigZag.json,670,685,130,190
NMEApD_50pts_ZigZag.json,670,687,130,200
NMEApD_50pts_ZigZag.json,670,690,130,210
NMEApD_50pts_ZigZag.json,670,692,130,220
NMEApD_50pts_ZigZag.json,670,695,130,230
NMEApD_50pts_ZigZag.json,670,697,130,240
NMEApD_50pts_ZigZag.json,670,700,130,250
NMEApD_50pts_ZigZag.json,670,662,140,100
NMEApD_50pts_ZigZag.json,670,665,140,110
NMEApD_50pts_ZigZag.json,670,667,140,120
NMEApD_50pts_ZigZag.json,670,670,140,130
NMEApD_50pts_ZigZag.json,670,672,140,140
NMEApD_50pts_ZigZag.json,670,675,140,150
NMEApD_50pts_ZigZag.json,670,677,140,160
