Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEAmD_35pts_ZigZag.json,1068,680,100,100
NMEAmD_35pts_ZigZag.json,1068,683,100,110
NMEAmD_35pts_ZigZag.json,1068,685,100,120
NMEAmD_35pts_ZigZag.json,1068,688,100,130
NMEAmD_35pts_ZigZag.json,1068,690,100,140
NMEAmD_35pts_ZigZag.json,1068,693,100,150
NMEAmD_35pts_ZigZag.json,1068,695,100,160
NMEAmD_35pts_ZigZag.json,1068,698,100,170
NMEAmD_35pts_ZigZag.json,1068,700,100,180
NMEAmD_35pts_ZigZag.json,1068,703,100,190
NMEAmD_35pts_ZigZag.json,1068,705,100,200
NMEAmD_35pts_ZigZag.json,1068,708,100,210
NMEAmD_35pts_ZigZag.json,1068,710,100,220
NMEAmD_35pts_ZigZag.json,1068,713,100,230
NMEAmD_35pts_ZigZag.json,1068,715,100,240
NMEAmD_35pts_ZigZag.json,1068,718,100,250
NMEAmD_35pts_ZigZag.json,1068,680,110,100
NMEAmD_35pts_ZigZag.json,1068,683,110,110
NMEAmD_35pts_ZigZag.json,1068,685,110,120
NMEAmD_35pts_ZigZag.json,1068,688,110,130
NMEAmD_35pts_ZigZag.json,1068,690,110,140
NMEAmD_35pts_ZigZag.json,1068,693,110,150
NMEAmD_35pts_ZigZag.json,1068,695,110,160
NMEAmD_35pts_ZigZag.json,1068,698,110,170
NMEAmD_35pts_ZigZag.json,1068,700,110,180
NMEAmD_35pts_ZigZag.json,1068,703,110,190
NMEAmD_35pts_ZigZag.json,1068,705,110,200
NMEAmD_35pts_ZigZag.json,1068,708,110,210
NMEAmD_35pts_ZigZag.json,1068,710,110,220
NMEAmD_35pts_ZigZag.json,1068,713,110,230
NMEAmD_35pts_ZigZag.json,1068,715,110,240
NMEAmD_35pts_ZigZag.json,1068,718,110,250
NMEAmD_35pts_ZigZag.json,1068,680,120,100
NMEAmD_35pts_ZigZag.json,1068,683,120,110
NMEAmD_35pts_ZigZag.json,1068,685,120,120
NMEAmD_35pts_ZigZag.json,1068,688,120,130
NMEAmD_35pts_ZigZag.json,1068,690,120,140
NMEAmD_35pts_ZigZag.json,1068,693,120,150
NMEAmD_35pts_ZigZag.json,1068,695,120,160
NMEAmD_35pts_ZigZag.json,1068,698,120,170
NMEAmD_35pts_ZigZag.json,1068,700,120,180
NMEAmD_35pts_ZigZag.json,1068,703,120,190
NMEAmD_35pts_ZigZag.json,1068,705,120,200
NMEAmD_35pts_ZigZag.json,1068,708,120,210
NMEAmD_35pts_ZigZag.json,1068,710,120,220
NMEAmD_35pts_ZigZag.json,1068,713,120,230
NMEAmD_35pts_ZigZag.json,1068,715,120,240
NMEAmD_35pts_ZigZag.json,1068,718,120,250
NMEAmD_35pts_ZigZag.json,1068,704,130,100
NMEAmD_35pts_ZigZag.json,1068,707,130,110
NMEAmD_35pts_ZigZag.json,1068,709,130,120
NMEAmD_35pts_ZigZag.json,1068,712,130,130
NMEAmD_35pts_ZigZag.json,1068,714,130,140
NMEAmD_35pts_ZigZag.json,1068,717,130,150
NMEAmD_35pts_ZigZag.json,1068,719,130,160
NMEAmD_35pts_ZigZag.json,1068,722,130,170
NMEAmD_35pts_ZigZag.json,1068,724,130,180
NMEAmD_35pts_ZigZag.json,1068,727,130,190
NMEAmD_35pts_ZigZag.json,1068,729,130,200
NMEAmD_35pts_ZigZag.json,1068,732,130,210
NMEAmD_35pts_ZigZag.json,1068,734,130,220
NMEAmD_35pts_ZigZag.json,1068,737,130,230
NMEAmD_35pts_ZigZag.json,1068,739,130,240
NMEAmD_35pts_ZigZag.json,1068,742,130,250
NMEAmD_35pts_ZigZag.json,1068,704,140,100
NMEAmD_35pts_ZigZag.json,1068,707,140,110
NMEAmD_35pts_ZigZag.json,1068,709,140,120
NMEAmD_35pts_ZigZag.json,1068,712,140,130
NMEAmD_35pts_ZigZag.json,1068,714,140,140
NMEAmD_35pts_ZigZag.json,1068,717,140,150
NMEAmD_35pts_ZigZag.json,1068,719,140,160
NMEAmD_35pts_ZigZag.json,1068,722,140,170
NMEAmD_35pts_ZigZag.json,1068,724,140,180
NMEAmD_35pts_ZigZag.json,1068,727,140,190
NMEAmD_35pts_ZigZag.json,1068,729,140,200
NMEAmD_35pts_ZigZag.json,1068,732,140,210
NMEAmD_35pts_ZigZag.json,1068,734,140,220
NMEAmD_35pts_ZigZag.json,1068,737,140,230
NMEAmD_35pts_ZigZag.json,1068,739,140,240
NMEAmD_35pts_ZigZag.json,1068,742,140,250
NMEAmD_35pts_ZigZag.json,1068,704,150,100
NMEAmD_35pts_ZigZag.json,1068,707,150,110
NMEAmD_35pts_ZigZag.json,1068,709,150,120
NMEAmD_35pts_ZigZag.json,1068,712,150,130
NMEAmD_35pts_ZigZag.json,1068,714,150,140
NMEAmD_35pts_ZigZag.json,1068,717,150,150
NMEAmD_35pts_ZigZag.json,1068,719,150,160
NMEAmD_35pts_ZigZag.json,1068,722,150,170
NMEAmD_35pts_ZigZag.json,1068,724,150,180
NMEAmD_35pts_ZigZag.json,1068,727,150,190
NMEAmD_35pts_ZigZag.json,1068,729,150,200
NMEAmD_35pts_ZigZag.json,1068,732,150,210
NMEAmD_35pts_ZigZag.json,1068,734,150,220
NMEAmD_35pts_ZigZag.json,1068,737,150,230
NMEAmD_35pts_ZigZag.json,1068,739,150,240
NMEAmD_35pts_ZigZag.json,1068,742,150,250
NMEAmD_35pts_ZigZag.json,1068,704,160,100
NMEAmD_35pts_ZigZag.json,1068,707,160,110
NMEAmD_35pts_ZigZag.json,1068,709,160,120
NMEAmD_35pts_ZigZag.json,1068,712,160,130
NMEAmD_35pts_ZigZag.json,1068,714,160,140
NMEAmD_35pts_ZigZag.json,1068,717,160,150
NMEAmD_35pts_ZigZag.json,1068,719,160,160
NMEAmD_35pts_ZigZag.json,1068,722,160,170
NMEAmD_35pts_ZigZag.json,1068,724,160,180
NMEAmD_35pts_ZigZag.json,1068,727,160,190
NMEAmD_35pts_ZigZag.json,1068,729,160,200
NMEAmD_35pts_ZigZag.json,1068,732,160,210
NMEAmD_35pts_ZigZag.json,1068,734,160,220
NMEAmD_35pts_ZigZag.json,1068,737,160,230
NMEAmD_35pts_ZigZag.json,1068,739,160,240
NMEAmD_35pts_ZigZag.json,1068,742,160,250
NMEAmD_35pts_ZigZag.json,1068,704,170,100
NMEAmD_35pts_ZigZag.json,1068,707,170,110
NMEAmD_35pts_ZigZag.json,1068,709,170,120
NMEAmD_35pts_ZigZag.json,1068,712,170,130
NMEAmD_35pts_ZigZag.json,1068,714,170,140
NMEAmD_35pts_ZigZag.json,1068,717,170,150
NMEAmD_35pts_ZigZag.json,1068,719,170,160
NMEAmD_35pts_ZigZag.json,1068,722,170,170
NMEAmD_35pts_ZigZag.json,1068,724,170,180
NMEAmD_35pts_ZigZag.json,1068,727,170,190
NMEAmD_35pts_ZigZag.json,1068,729,170,200
NMEAmD_35pts_ZigZag.json,1068,732,170,210
NMEAmD_35pts_ZigZag.json,1068,734,170,220
NMEAmD_35pts_ZigZag.json,1068,737,170,230
NMEAmD_35pts_ZigZag.json,1068,739,170,240
NMEAmD_35pts_ZigZag.json,1068,742,170,250
NMEAmD_35pts_ZigZag.json,1068,704,180,100
NMEAmD_35pts_ZigZag.json,1068,707,180,110
NMEAmD_35pts_ZigZag.json,1068,709,180,120
NMEAmD_35pts_ZigZag.json,1068,712,180,130
NMEAmD_35pts_ZigZag.json,1068,714,180,140
NMEAmD_35pts_ZigZag.json,1068,717,180,150
NMEAmD_35pts_ZigZag.json,1068,719,180,160
NMEAmD_35pts_ZigZag.json,1068,722,180,170
NMEAmD_35pts_ZigZag.json,1068,724,180,180
NMEAmD_35pts_ZigZag.json,1068,727,180,190
NMEAmD_35pts_ZigZag.json,1068,729,180,200
NMEAmD_35pts_ZigZag.json,1068,732,180,210
NMEAmD_35pts_ZigZag.json,1068,734,180,220
NMEAmD_35pts_ZigZag.json,1068,737,180,230
NMEAmD_35pts_ZigZag.json,1068,739,180,240
NMEAmD_35pts_ZigZag.json,1068,742,180,250
NMEAmD_35pts_ZigZag.json,1068,704,190,100
NMEAmD_35pts_ZigZag.json,1068,707,190,110
NMEAmD_35pts_ZigZag.json,1068,709,190,120
NMEAmD_35pts_ZigZag.json,1068,712,190,130
NMEAmD_35pts_ZigZag.json,1068,714,190,140
NMEAmD_35pts_ZigZag.json,1068,717,190,150
NMEAmD_35pts_ZigZag.json,1068,719,190,160
NMEAmD_35pts_ZigZag.json,1068,722,190,170
NMEAmD_35pts_ZigZag.json,1068,724,190,180
NMEAmD_35pts_ZigZag.json,1068,727,190,190
NMEAmD_35pts_ZigZag.json,1068,729,190,200
NMEAmD_35pts_ZigZag.json,1068,732,190,210
NMEAmD_35pts_ZigZag.json,1068,734,190,220
NMEAmD_35pts_ZigZag.json,1068,737,190,230
NMEAmD_35pts_ZigZag.json,1068,739,190,240
NMEAmD_35pts_ZigZag.json,1068,742,190,250
NMEAmD_35pts_ZigZag.json,1068,704,200,100
NMEAmD_35pts_ZigZag.json,1068,707,200,110
NMEAmD_35pts_ZigZag.json,1068,709,200,120
NMEAmD_35pts_ZigZag.json,1068,712,200,130
NMEAmD_35pts_ZigZag.json,1068,714,200,140
NMEAmD_35pts_ZigZag.json,1068,717,200,150
NMEAmD_35pts_ZigZag.json,1068,719,200,160
NMEAmD_35pts_ZigZag.json,1068,722,200,170
NMEAmD_35pts_ZigZag.json,1068,724,200,180
NMEAmD_35pts_ZigZag.json,1068,727,200,190
NMEAmD_35pts_ZigZag.json,1068,729,200,200
NMEAmD_35pts_ZigZag.json,1068,732,200,210
NMEAmD_35pts_ZigZag.json,1068,734,200,220
NMEAmD_35pts_ZigZag.json,1068,737,200,230
NMEAmD_35pts_ZigZag.json,1068,739,200,240
NMEAmD_35pts_ZigZag.json,1068,742,200,250
NMEAmD_35pts_ZigZag.json,1068,704,210,100
NMEAmD_35pts_ZigZag.json,1068,707,210,110
NMEAmD_35pts_ZigZag.json,1068,709,210,120
NMEAmD_35pts_ZigZag.json,1068,712,210,130
NMEAmD_35pts_ZigZag.json,1068,714,210,140
NMEAmD_35pts_ZigZag.json,1068,717,210,150
NMEAmD_35pts_ZigZag.json,1068,719,210,160
NMEAmD_35pts_ZigZag.json,1068,722,210,170
NMEAmD_35pts_ZigZag.json,1068,724,210,180
NMEAmD_35pts_ZigZag.json,1068,727,210,190
NMEAmD_35pts_ZigZag.json,1068,729,210,200
NMEAmD_35pts_ZigZag.json,1068,732,210,210
NMEAmD_35pts_ZigZag.json,1068,734,210,220
NMEAmD_35pts_ZigZag.json,1068,737,210,230
NMEAmD_35pts_ZigZag.json,1068,739,210,240
NMEAmD_35pts_ZigZag.json,1068,742,210,250
NMEAmD_35pts_ZigZag.json,1068,704,220,100
NMEAmD_35pts_ZigZag.json,1068,707,220,110
NMEAmD_35pts_ZigZag.json,1068,709,220,120
NMEAmD_35pts_ZigZag.json,1068,712,220,130
NMEAmD_35pts_ZigZag.json,1068,714,220,140
NMEAmD_35pts_ZigZag.json,1068,717,220,150
NMEAmD_35pts_ZigZag.json,1068,719,220,160
NMEAmD_35pts_ZigZag.json,1068,722,220,170
NMEAmD_35pts_ZigZag.json,1068,724,220,180
NMEAmD_35pts_ZigZag.json,1068,727,220,190
NMEAmD_35pts_ZigZag.json,1068,729,220,200
NMEAmD_35pts_ZigZag.json,1068,732,220,210
NMEAmD_35pts_ZigZag.json,1068,734,220,220
NMEAmD_35pts_ZigZag.json,1068,737,220,230
NMEAmD_35pts_ZigZag.json,1068,739,220,240
NMEAmD_35pts_ZigZag.json,1068,742,220,250
NMEAmD_35pts_ZigZag.json,1068,704,230,100
NMEAmD_35pts_ZigZag.json,1068,707,230,110
NMEAmD_35pts_ZigZag.json,1068,709,230,120
NMEAmD_35pts_ZigZag.json,1068,712,230,130
NMEAmD_35pts_ZigZag.json,1068,714,230,140
NMEAmD_35pts_ZigZag.json,1068,717,230,150
NMEAmD_35pts_ZigZag.json,1068,719,230,160
NMEAmD_35pts_ZigZag.json,1068,722,230,170
NMEAmD_35pts_ZigZag.json,1068,724,230,180
NMEAmD_35pts_ZigZag.json,1068,727,230,190
NMEAmD_35pts_ZigZag.json,1068,729,230,200
NMEAmD_35pts_ZigZag.json,1068,732,230,210
NMEAmD_35pts_ZigZag.json,1068,734,230,220
NMEAmD_35pts_ZigZag.json,1068,737,230,230
NMEAmD_35pts_ZigZag.json,1068,739,230,240
NMEAmD_35pts_ZigZag.json,1068,742,230,250
NMEAmD_35pts_ZigZag.json,1068,704,240,100
NMEAmD_35pts_ZigZag.json,1068,707,240,110
NMEAmD_35pts_ZigZag.json,1068,709,240,120
NMEAmD_35pts_ZigZag.json,1068,712,240,130
NMEAmD_35pts_ZigZag.json,1068,714,240,140
NMEAmD_35pts_ZigZag.json,1068,717,240,150
NMEAmD_35pts_ZigZag.json,1068,719,240,160
NMEAmD_35pts_ZigZag.json,1068,722,240,170
NMEAmD_35pts_ZigZag.json,1068,724,240,180
NMEAmD_35pts_ZigZag.json,1068,727,240,190
NMEAmD_35pts_ZigZag.json,1068,729,240,200
NMEAmD_35pts_ZigZag.json,1068,732,240,210
NMEAmD_35pts_ZigZag.json,1068,734,240,220
NMEAmD_35pts_ZigZag.json,1068,737,240,230
NMEAmD_35pts_ZigZag.json,1068,739,240,240
NMEAmD_35pts_ZigZag.json,1068,742,240,250
NMEAmD_35pts_ZigZag.json,1068,704,250,100
NMEAmD_35pts_ZigZag.json,1068,707,250,110
NMEAmD_35pts_ZigZag.json,1068,709,250,120
NMEAmD_35pts_ZigZag.json,1068,712,250,130
NMEAmD_35pts_ZigZag.json,1068,714,250,140
NMEAmD_35pts_ZigZag.json,1068,717,250,150
NMEAmD_35pts_ZigZag.json,1068,719,250,160
NMEAmD_35pts_ZigZag.json,1068,722,250,170
NMEAmD_35pts_ZigZag.json,1068,724,250,180
NMEAmD_35pts_ZigZag.json,1068,727,250,190
NMEAmD_35pts_ZigZag.json,1068,729,250,200
NMEAmD_35pts_ZigZag.json,1068,732,250,210
NMEAmD_35pts_ZigZag.json,1068,734,250,220
NMEAmD_35pts_ZigZag.json,1068,737,250,230
NMEAmD_35pts_ZigZag.json,1068,739,250,240
NMEAmD_35pts_ZigZag.json,1068,742,250,250
NMEAmD_35pts_ZigZag.json,1068,729,260,100
NMEAmD_35pts_ZigZag.json,1068,731,260,110
NMEAmD_35pts_ZigZag.json,1068,734,260,120
NMEAmD_35pts_ZigZag.json,1068,736,260,130
NMEAmD_35pts_ZigZag.json,1068,739,260,140
NMEAmD_35pts_ZigZag.json,1068,741,260,150
NMEAmD_35pts_ZigZag.json,1068,744,260,160
NMEAmD_35pts_ZigZag.json,1068,746,260,170
NMEAmD_35pts_ZigZag.json,1068,749,260,180
NMEAmD_35pts_ZigZag.json,1068,751,260,190
NMEAmD_35pts_ZigZag.json,1068,754,260,200
NMEAmD_35pts_ZigZag.json,1068,756,260,210
