Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEApD_21pts_ZigZag1.json,704,447,100,100
NMEApD_21pts_ZigZag1.json,704,450,100,110
NMEApD_21pts_ZigZag1.json,704,452,100,120
NMEApD_21pts_ZigZag1.json,704,455,100,130
NMEApD_21pts_ZigZag1.json,704,457,100,140
NMEApD_21pts_ZigZag1.json,704,460,100,150
NMEApD_21pts_ZigZag1.json,704,462,100,160
NMEApD_21pts_ZigZag1.json,704,465,100,170
NMEApD_21pts_ZigZag1.json,704,467,100,180
NMEApD_21pts_ZigZag1.json,704,470,100,190
NMEApD_21pts_ZigZag1.json,704,472,100,200
NMEApD_21pts_ZigZag1.json,704,475,100,210
NMEApD_21pts_ZigZag1.json,704,477,100,220
NMEApD_21pts_ZigZag1.json,704,480,100,230
NMEApD_21pts_ZigZag1.json,704,482,100,240
NMEApD_21pts_ZigZag1.json,704,485,100,250
NMEApD_21pts_ZigZag1.json,704,447,110,100
NMEApD_21pts_ZigZag1.json,704,450,110,110
NMEApD_21pts_ZigZag1.json,704,452,110,120
NMEApD_21pts_ZigZag1.json,704,455,110,130
NMEApD_21pts_ZigZag1.json,704,457,110,140
NMEApD_21pts_ZigZag1.json,704,460,110,150
NMEApD_21pts_ZigZag1.json,704,462,110,160
NMEApD_21pts_ZigZag1.json,704,465,110,170
NMEApD_21pts_ZigZag1.json,704,467,110,180
NMEApD_21pts_ZigZag1.json,704,470,110,190
NMEApD_21pts_ZigZag1.json,704,472,110,200
NMEApD_21pts_ZigZag1.json,704,475,110,210
NMEApD_21pts_ZigZag1.json,704,477,110,220
NMEApD_21pts_ZigZag1.json,704,480,110,230
NMEApD_21pts_ZigZag1.json,704,482,110,240
NMEApD_21pts_ZigZag1.json,704,485,110,250
NMEApD_21pts_ZigZag1.json,704,447,120,100
NMEApD_21pts_ZigZag1.json,704,450,120,110
NMEApD_21pts_ZigZag1.json,704,452,120,120
NMEApD_21pts_ZigZag1.json,704,455,120,130
NMEApD_21pts_ZigZag1.json,704,457,120,140
NMEApD_21pts_ZigZag1.json,704,460,120,150
NMEApD_21pts_ZigZag1.json,704,462,120,160
NMEApD_21pts_ZigZag1.json,704,465,120,170
NMEApD_21pts_ZigZag1.json,704,467,120,180
NMEApD_21pts_ZigZag1.json,704,470,120,190
NMEApD_21pts_ZigZag1.json,704,472,120,200
NMEApD_21pts_ZigZag1.json,704,475,120,210
NMEApD_21pts_ZigZag1.json,704,477,120,220
NMEApD_21pts_ZigZag1.json,704,480,120,230
NMEApD_21pts_ZigZag1.json,704,482,120,240
NMEApD_21pts_ZigZag1.json,704,485,120,250
NMEApD_21pts_ZigZag1.json,704,463,130,100
NMEApD_21pts_ZigZag1.json,704,465,130,110
NMEApD_21pts_ZigZag1.json,704,468,130,120
NMEApD_21pts_ZigZag1.json,704,470,130,130
NMEApD_21pts_ZigZag1.json,704,473,130,140
NMEApD_21pts_ZigZag1.json,704,475,130,150
NMEApD_21pts_ZigZag1.json,704,478,130,160
NMEApD_21pts_ZigZag1.json,704,480,130,170
NMEApD_21pts_ZigZag1.json,704,483,130,180
NMEApD_21pts_ZigZag1.json,704,485,130,190
NMEApD_21pts_ZigZag1.json,704,488,130,200
NMEApD_21pts_ZigZag1.json,704,490,130,210
NMEApD_21pts_ZigZag1.json,704,493,130,220
NMEApD_21pts_ZigZag1.json,704,495,130,230
NMEApD_21pts_ZigZag1.json,704,498,130,240
NMEApD_21pts_ZigZag1.json,704,500,130,250
NMEApD_21pts_ZigZag1.json,704,463,140,100
NMEApD_21pts_ZigZag1.json,704,465,140,110
NMEApD_21pts_ZigZag1.json,704,468,140,120
NMEApD_21pts_ZigZag1.json,704,470,140,130
NMEApD_21pts_ZigZag1.json,704,473,140,140
NMEApD_21pts_ZigZag1.json,704,475,140,150
NMEApD_21pts_ZigZag1.json,704,478,140,160
NMEApD_21pts_ZigZag1.json,704,480,140,170
NMEApD_21pts_ZigZag1.json,704,483,140,180
NMEApD_21pts_ZigZag1.json,704,485,140,190
NMEApD_21pts_ZigZag1.json,704,488,140,200
NMEApD_21pts_ZigZag1.json,704,490,140,210
NMEApD_21pts_ZigZag1.json,704,493,140,220
NMEApD_21pts_ZigZag1.json,704,495,140,230
NMEApD_21pts_ZigZag1.json,704,498,140,240
NMEApD_21pts_ZigZag1.json,704,500,140,250
NMEApD_21pts_ZigZag1.json,704,463,150,100
NMEApD_21pts_ZigZag1.json,704,465,150,110
NMEApD_21pts_ZigZag1.json,704,468,150,120
NMEApD_21pts_ZigZag1.json,704,470,150,130
NMEApD_21pts_ZigZag1.json,704,473,150,140
NMEApD_21pts_ZigZag1.json,704,475,150,150
NMEApD_21pts_ZigZag1.json,704,478,150,160
NMEApD_21pts_ZigZag1.json,704,480,150,170
NMEApD_21pts_ZigZag1.json,704,483,150,180
NMEApD_21pts_ZigZag1.json,704,485,150,190
NMEApD_21pts_ZigZag1.json,704,488,150,200
NMEApD_21pts_ZigZag1.json,704,490,150,210
NMEApD_21pts_ZigZag1.json,704,493,150,220
NMEApD_21pts_ZigZag1.json,704,495,150,230
NMEApD_21pts_ZigZag1.json,704,498,150,240
NMEApD_21pts_ZigZag1.json,704,500,150,250
NMEApD_21pts_ZigZag1.json,704,463,160,100
NMEApD_21pts_ZigZag1.json,704,465,160,110
NMEApD_21pts_ZigZag1.json,704,468,160,120
NMEApD_21pts_ZigZag1.json,704,470,160,130
NMEApD_21pts_ZigZag1.json,704,473,160,140
NMEApD_21pts_ZigZag1.json,704,475,160,150
NMEApD_21pts_ZigZag1.json,704,478,160,160
NMEApD_21pts_ZigZag1.json,704,480,160,170
NMEApD_21pts_ZigZag1.json,704,483,160,180
NMEApD_21pts_ZigZag1.json,704,485,160,190
NMEApD_21pts_ZigZag1.json,704,488,160,200
NMEApD_21pts_ZigZag1.json,704,490,160,210
NMEApD_21pts_ZigZag1.json,704,493,160,220
NMEApD_21pts_ZigZag1.json,704,495,160,230
NMEApD_21pts_ZigZag1.json,704,498,160,240
NMEApD_21pts_ZigZag1.json,704,500,160,250
NMEApD_21pts_ZigZag1.json,704,463,170,100
NMEApD_21pts_ZigZag1.json,704,465,170,110
NMEApD_21pts_ZigZag1.json,704,468,170,120
NMEApD_21pts_ZigZag1.json,704,470,170,130
NMEApD_21pts_ZigZag1.json,704,473,170,140
NMEApD_21pts_ZigZag1.json,704,475,170,150
NMEApD_21pts_ZigZag1.json,704,478,170,160
NMEApD_21pts_ZigZag1.json,704,480,170,170
NMEApD_21pts_ZigZag1.json,704,483,170,180
NMEApD_21pts_ZigZag1.json,704,485,170,190
NMEApD_21pts_ZigZag1.json,704,488,170,200
NMEApD_21pts_ZigZag1.json,704,490,170,210
NMEApD_21pts_ZigZag1.json,704,493,170,220
NMEApD_21pts_ZigZag1.json,704,495,170,230
NMEApD_21pts_ZigZag1.json,704,498,170,240
NMEApD_21pts_ZigZag1.json,704,500,170,250
NMEApD_21pts_ZigZag1.json,704,463,180,100
NMEApD_21pts_ZigZag1.json,704,465,180,110
NMEApD_21pts_ZigZag1.json,704,468,180,120
NMEApD_21pts_ZigZag1.json,704,470,180,130
NMEApD_21pts_ZigZag1.json,704,473,180,140
NMEApD_21pts_ZigZag1.json,704,475,180,150
NMEApD_21pts_ZigZag1.json,704,478,180,160
NMEApD_21pts_ZigZag1.json,704,480,180,170
NMEApD_21pts_ZigZag1.json,704,483,180,180
NMEApD_21pts_ZigZag1.json,704,485,180,190
NMEApD_21pts_ZigZag1.json,704,488,180,200
NMEApD_21pts_ZigZag1.json,704,490,180,210
NMEApD_21pts_ZigZag1.json,704,493,180,220
NMEApD_21pts_ZigZag1.json,704,495,180,230
NMEApD_21pts_ZigZag1.json,704,498,180,240
NMEApD_21pts_ZigZag1.json,704,500,180,250
NMEApD_21pts_ZigZag1.json,704,463,190,100
NMEApD_21pts_ZigZag1.json,704,465,190,110
NMEApD_21pts_ZigZag1.json,704,468,190,120
NMEApD_21pts_ZigZag1.json,704,470,190,130
NMEApD_21pts_ZigZag1.json,704,473,190,140
NMEApD_21pts_ZigZag1.json,704,475,190,150
NMEApD_21pts_ZigZag1.json,704,478,190,160
NMEApD_21pts_ZigZag1.json,704,480,190,170
NMEApD_21pts_ZigZag1.json,704,483,190,180
NMEApD_21pts_ZigZag1.json,704,485,190,190
NMEApD_21pts_ZigZag1.json,704,488,190,200
NMEApD_21pts_ZigZag1.json,704,490,190,210
NMEApD_21pts_ZigZag1.json,704,493,190,220
NMEApD_21pts_ZigZag1.json,704,495,190,230
NMEApD_21pts_ZigZag1.json,704,498,190,240
NMEApD_21pts_ZigZag1.json,704,500,190,250
NMEApD_21pts_ZigZag1.json,704,463,200,100
NMEApD_21pts_ZigZag1.json,704,465,200,110
NMEApD_21pts_ZigZag1.json,704,468,200,120
NMEApD_21pts_ZigZag1.json,704,470,200,130
NMEApD_21pts_ZigZag1.json,704,473,200,140
NMEApD_21pts_ZigZag1.json,704,475,200,150
NMEApD_21pts_ZigZag1.json,704,478,200,160
NMEApD_21pts_ZigZag1.json,704,480,200,170
NMEApD_21pts_ZigZag1.json,704,483,200,180
NMEApD_21pts_ZigZag1.json,704,485,200,190
NMEApD_21pts_ZigZag1.json,704,488,200,200
NMEApD_21pts_ZigZag1.json,704,490,200,210
NMEApD_21pts_ZigZag1.json,704,493,200,220
NMEApD_21pts_ZigZag1.json,704,495,200,230
NMEApD_21pts_ZigZag1.json,704,498,200,240
NMEApD_21pts_ZigZag1.json,704,500,200,250
NMEApD_21pts_ZigZag1.json,704,463,210,100
NMEApD_21pts_ZigZag1.json,704,465,210,110
NMEApD_21pts_ZigZag1.json,704,468,210,120
NMEApD_21pts_ZigZag1.json,704,470,210,130
NMEApD_21pts_ZigZag1.json,704,473,210,140
NMEApD_21pts_ZigZag1.json,704,475,210,150
NMEApD_21pts_ZigZag1.json,704,478,210,160
NMEApD_21pts_ZigZag1.json,704,480,210,170
NMEApD_21pts_ZigZag1.json,704,483,210,180
NMEApD_21pts_ZigZag1.json,704,485,210,190
NMEApD_21pts_ZigZag1.json,704,488,210,200
NMEApD_21pts_ZigZag1.json,704,490,210,210
NMEApD_21pts_ZigZag1.json,704,493,210,220
NMEApD_21pts_ZigZag1.json,704,495,210,230
NMEApD_21pts_ZigZag1.json,704,498,210,240
NMEApD_21pts_ZigZag1.json,704,500,210,250
NMEApD_21pts_ZigZag1.json,704,463,220,100
NMEApD_21pts_ZigZag1.json,704,465,220,110
NMEApD_21pts_ZigZag1.json,704,468,220,120
NMEApD_21pts_ZigZag1.json,704,470,220,130
NMEApD_21pts_ZigZag1.json,704,473,220,140
NMEApD_21pts_ZigZag1.json,704,475,220,150
NMEApD_21pts_ZigZag1.json,704,478,220,160
NMEApD_21pts_ZigZag1.json,704,480,220,170
NMEApD_21pts_ZigZag1.json,704,483,220,180
NMEApD_21pts_ZigZag1.json,704,485,220,190
NMEApD_21pts_ZigZag1.json,704,488,220,200
NMEApD_21pts_ZigZag1.json,704,490,220,210
NMEApD_21pts_ZigZag1.json,704,493,220,220
NMEApD_21pts_ZigZag1.json,704,495,220,230
NMEApD_21pts_ZigZag1.json,704,498,220,240
NMEApD_21pts_ZigZag1.json,704,500,220,250
NMEApD_21pts_ZigZag1.json,704,463,230,100
NMEApD_21pts_ZigZag1.json,704,465,230,110
NMEApD_21pts_ZigZag1.json,704,468,230,120
NMEApD_21pts_ZigZag1.json,704,470,230,130
NMEApD_21pts_ZigZag1.json,704,473,230,140
NMEApD_21pts_ZigZag1.json,704,475,230,150
NMEApD_21pts_ZigZag1.json,704,478,230,160
NMEApD_21pts_ZigZag1.json,704,480,230,170
NMEApD_21pts_ZigZag1.json,704,483,230,180
NMEApD_21pts_ZigZag1.json,704,485,230,190
NMEApD_21pts_ZigZag1.json,704,488,230,200
NMEApD_21pts_ZigZag1.json,704,490,230,210
NMEApD_21pts_ZigZag1.json,704,493,230,220
NMEApD_21pts_ZigZag1.json,704,495,230,230
NMEApD_21pts_ZigZag1.json,704,498,230,240
NMEApD_21pts_ZigZag1.json,704,500,230,250
NMEApD_21pts_ZigZag1.json,704,463,240,100
NMEApD_21pts_ZigZag1.json,704,465,240,110
NMEApD_21pts_ZigZag1.json,704,468,240,120
NMEApD_21pts_ZigZag1.json,704,470,240,130
NMEApD_21pts_ZigZag1.json,704,473,240,140
NMEApD_21pts_ZigZag1.json,704,475,240,150
NMEApD_21pts_ZigZag1.json,704,478,240,160
NMEApD_21pts_ZigZag1.json,704,480,240,170
NMEApD_21pts_ZigZag1.json,704,483,240,180
NMEApD_21pts_ZigZag1.json,704,485,240,190
NMEApD_21pts_ZigZag1.json,704,488,240,200
NMEApD_21pts_ZigZag1.json,704,490,240,210
NMEApD_21pts_ZigZag1.json,704,493,240,220
NMEApD_21pts_ZigZag1.json,704,495,240,230
NMEApD_21pts_ZigZag1.json,704,498,240,240
NMEApD_21pts_ZigZag1.json,704,500,240,250
NMEApD_21pts_ZigZag1.json,704,463,250,100
NMEApD_21pts_ZigZag1.json,704,465,250,110
NMEApD_21pts_ZigZag1.json,704,468,250,120
NMEApD_21pts_ZigZag1.json,704,470,250,130
