Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEApD_50pts_2km.json,1458,765,100,100
NMEApD_50pts_2km.json,1458,767,100,110
NMEApD_50pts_2km.json,1458,770,100,120
NMEApD_50pts_2km.json,1458,772,100,130
NMEApD_50pts_2km.json,1458,775,100,140
NMEApD_50pts_2km.json,1458,777,100,150
NMEApD_50pts_2km.json,1458,780,100,160
NMEApD_50pts_2km.json,1458,782,100,170
NMEApD_50pts_2km.json,1458,785,100,180
NMEApD_50pts_2km.json,1458,787,100,190
NMEApD_50pts_2km.json,1458,790,100,200
NMEApD_50pts_2km.json,1458,792,100,210
NMEApD_50pts_2km.json,1458,795,100,220
NMEApD_50pts_2km.json,1458,797,100,230
NMEApD_50pts_2km.json,1458,800,100,240
NMEApD_50pts_2km.json,1458,802,100,250
NMEApD_50pts_2km.json,1458,761,110,100
NMEApD_50pts_2km.json,1458,764,110,110
NMEApD_50pts_2km.json,1458,766,110,120
NMEApD_50pts_2km.json,1458,769,110,130
NMEApD_50pts_2km.json,1458,771,110,140
NMEApD_50pts_2km.json,1458,774,110,150
NMEApD_50pts_2km.json,1458,776,110,160
NMEApD_50pts_2km.json,1458,779,110,170
NMEApD_50pts_2km.json,1458,781,110,180
NMEApD_50pts_2km.json,1458,784,110,190
NMEApD_50pts_2km.json,1458,786,110,200
NMEApD_50pts_2km.json,1458,789,110,210
NMEApD_50pts_2km.json,1458,791,110,220
NMEApD_50pts_2km.json,1458,794,110,230
NMEApD_50pts_2km.json,1458,796,110,240
NMEApD_50pts_2km.json,1458,799,110,250
NMEApD_50pts_2km.json,1458,761,120,100
NMEApD_50pts_2km.json,1458,764,120,110
NMEApD_50pts_2km.json,1458,766,120,120
NMEApD_50pts_2km.json,1458,769,120,130
NMEApD_50pts_2km.json,1458,771,120,140
NMEApD_50pts_2km.json,1458,774,120,150
NMEApD_50pts_2km.json,1458,776,120,160
NMEApD_50pts_2km.json,1458,779,120,170
NMEApD_50pts_2km.json,1458,781,120,180
NMEApD_50pts_2km.json,1458,784,120,190
NMEApD_50pts_2km.json,1458,786,120,200
NMEApD_50pts_2km.json,1458,789,120,210
NMEApD_50pts_2km.json,1458,791,120,220
NMEApD_50pts_2km.json,1458,794,120,230
NMEApD_50pts_2km.json,1458,796,120,240
NMEApD_50pts_2km.json,1458,799,120,250
NMEApD_50pts_2km.json,1458,788,130,100
NMEApD_50pts_2km.json,1458,791,130,110
NMEApD_50pts_2km.json,1458,793,130,120
NMEApD_50pts_2km.json,1458,796,130,130
NMEApD_50pts_2km.json,1458,798,130,140
NMEApD_50pts_2km.json,1458,801,130,150
NMEApD_50pts_2km.json,1458,803,130,160
NMEApD_50pts_2km.json,1458,806,130,170
NMEApD_50pts_2km.json,1458,808,130,180
NMEApD_50pts_2km.json,1458,811,130,190
NMEApD_50pts_2km.json,1458,813,130,200
NMEApD_50pts_2km.json,1458,816,130,210
NMEApD_50pts_2km.json,1458,818,130,220
NMEApD_50pts_2km.json,1458,821,130,230
NMEApD_50pts_2km.json,1458,823,130,240
NMEApD_50pts_2km.json,1458,826,130,250
NMEApD_50pts_2km.json,1458,788,140,100
NMEApD_50pts_2km.json,1458,791,140,110
NMEApD_50pts_2km.json,1458,793,140,120
NMEApD_50pts_2km.json,1458,796,140,130
NMEApD_50pts_2km.json,1458,798,140,140
NMEApD_50pts_2km.json,1458,801,140,150
NMEApD_50pts_2km.json,1458,803,140,160
NMEApD_50pts_2km.json,1458,806,140,170
NMEApD_50pts_2km.json,1458,808,140,180
NMEApD_50pts_2km.json,1458,811,140,190
NMEApD_50pts_2km.json,1458,813,140,200
NMEApD_50pts_2km.json,1458,816,140,210
NMEApD_50pts_2km.json,1458,818,140,220
NMEApD_50pts_2km.json,1458,821,140,230
NMEApD_50pts_2km.json,1458,823,140,240
NMEApD_50pts_2km.json,1458,826,140,250
NMEApD_50pts_2km.json,1458,778,150,100
NMEApD_50pts_2km.json,1458,780,150,110
NMEApD_50pts_2km.json,1458,783,150,120
NMEApD_50pts_2km.json,1458,785,150,130
NMEApD_50pts_2km.json,1458,788,150,140
NMEApD_50pts_2km.json,1458,790,150,150
NMEApD_50pts_2km.json,1458,793,150,160
NMEApD_50pts_2km.json,1458,795,150,170
NMEApD_50pts_2km.json,1458,798,150,180
