Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEApD_50pts_Per.json,1458,690,100,100
NMEApD_50pts_Per.json,1458,693,100,110
NMEApD_50pts_Per.json,1458,695,100,120
NMEApD_50pts_Per.json,1458,698,100,130
NMEApD_50pts_Per.json,1458,700,100,140
NMEApD_50pts_Per.json,1458,703,100,150
NMEApD_50pts_Per.json,1458,705,100,160
NMEApD_50pts_Per.json,1458,708,100,170
NMEApD_50pts_Per.json,1458,710,100,180
NMEApD_50pts_Per.json,1458,713,100,190
NMEApD_50pts_Per.json,1458,715,100,200
NMEApD_50pts_Per.json,1458,718,100,210
NMEApD_50pts_Per.json,1458,720,100,220
NMEApD_50pts_Per.json,1458,723,100,230
NMEApD_50pts_Per.json,1458,725,100,240
NMEApD_50pts_Per.json,1458,728,100,250
NMEApD_50pts_Per.json,1458,687,110,100
NMEApD_50pts_Per.json,1458,689,110,110
NMEApD_50pts_Per.json,1458,692,110,120
NMEApD_50pts_Per.json,1458,694,110,130
NMEApD_50pts_Per.json,1458,697,110,140
NMEApD_50pts_Per.json,1458,699,110,150
NMEApD_50pts_Per.json,1458,702,110,160
NMEApD_50pts_Per.json,1458,704,110,170
NMEApD_50pts_Per.json,1458,707,110,180
NMEApD_50pts_Per.json,1458,709,110,190
NMEApD_50pts_Per.json,1458,712,110,200
NMEApD_50pts_Per.json,1458,714,110,210
NMEApD_50pts_Per.json,1458,717,110,220
NMEApD_50pts_Per.json,1458,719,110,230
NMEApD_50pts_Per.json,1458,722,110,240
NMEApD_50pts_Per.json,1458,724,110,250
NMEApD_50pts_Per.json,1458,687,120,100
NMEApD_50pts_Per.json,1458,689,120,110
NMEApD_50pts_Per.json,1458,692,120,120
NMEApD_50pts_Per.json,1458,694,120,130
NMEApD_50pts_Per.json,1458,697,120,140
NMEApD_50pts_Per.json,1458,699,120,150
NMEApD_50pts_Per.json,1458,702,120,160
NMEApD_50pts_Per.json,1458,704,120,170
NMEApD_50pts_Per.json,1458,707,120,180
NMEApD_50pts_Per.json,1458,709,120,190
NMEApD_50pts_Per.json,1458,712,120,200
NMEApD_50pts_Per.json,1458,714,120,210
NMEApD_50pts_Per.json,1458,717,120,220
NMEApD_50pts_Per.json,1458,719,120,230
NMEApD_50pts_Per.json,1458,722,120,240
NMEApD_50pts_Per.json,1458,724,120,250
NMEApD_50pts_Per.json,1458,711,130,100
NMEApD_50pts_Per.json,1458,714,130,110
NMEApD_50pts_Per.json,1458,716,130,120
NMEApD_50pts_Per.json,1458,719,130,130
NMEApD_50pts_Per.json,1458,721,130,140
NMEApD_50pts_Per.json,1458,724,130,150
NMEApD_50pts_Per.json,1458,726,130,160
NMEApD_50pts_Per.json,1458,729,130,170
NMEApD_50pts_Per.json,1458,731,130,180
NMEApD_50pts_Per.json,1458,734,130,190
NMEApD_50pts_Per.json,1458,736,130,200
NMEApD_50pts_Per.json,1458,739,130,210
NMEApD_50pts_Per.json,1458,741,130,220
NMEApD_50pts_Per.json,1458,744,130,230
NMEApD_50pts_Per.json,1458,746,130,240
NMEApD_50pts_Per.json,1458,749,130,250
NMEApD_50pts_Per.json,1458,711,140,100
NMEApD_50pts_Per.json,1458,714,140,110
NMEApD_50pts_Per.json,1458,716,140,120
NMEApD_50pts_Per.json,1458,719,140,130
NMEApD_50pts_Per.json,1458,721,140,140
NMEApD_50pts_Per.json,1458,724,140,150
NMEApD_50pts_Per.json,1458,726,140,160
NMEApD_50pts_Per.json,1458,729,140,170
NMEApD_50pts_Per.json,1458,731,140,180
NMEApD_50pts_Per.json,1458,734,140,190
NMEApD_50pts_Per.json,1458,736,140,200
NMEApD_50pts_Per.json,1458,739,140,210
