Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEApD_50pts_ZigZag.json,1458,684,100,100
NMEApD_50pts_ZigZag.json,1458,686,100,110
NMEApD_50pts_ZigZag.json,1458,689,100,120
NMEApD_50pts_ZigZag.json,1458,691,100,130
NMEApD_50pts_ZigZag.json,1458,694,100,140
NMEApD_50pts_ZigZag.json,1458,696,100,150
NMEApD_50pts_ZigZag.json,1458,699,100,160
NMEApD_50pts_ZigZag.json,1458,701,100,170
NMEApD_50pts_ZigZag.json,1458,704,100,180
NMEApD_50pts_ZigZag.json,1458,706,100,190
NMEApD_50pts_ZigZag.json,1458,709,100,200
NMEApD_50pts_ZigZag.json,1458,711,100,210
NMEApD_50pts_ZigZag.json,1458,714,100,220
NMEApD_50pts_ZigZag.json,1458,716,100,230
NMEApD_50pts_ZigZag.json,1458,719,100,240
NMEApD_50pts_ZigZag.json,1458,721,100,250
NMEApD_50pts_ZigZag.json,1458,680,110,100
NMEApD_50pts_ZigZag.json,1458,683,110,110
NMEApD_50pts_ZigZag.json,1458,685,110,120
NMEApD_50pts_ZigZag.json,1458,688,110,130
NMEApD_50pts_ZigZag.json,1458,690,110,140
NMEApD_50pts_ZigZag.json,1458,693,110,150
NMEApD_50pts_ZigZag.json,1458,695,110,160
NMEApD_50pts_ZigZag.json,1458,698,110,170
NMEApD_50pts_ZigZag.json,1458,700,110,180
NMEApD_50pts_ZigZag.json,1458,703,110,190
NMEApD_50pts_ZigZag.json,1458,705,110,200
NMEApD_50pts_ZigZag.json,1458,708,110,210
NMEApD_50pts_ZigZag.json,1458,710,110,220
NMEApD_50pts_ZigZag.json,1458,713,110,230
NMEApD_50pts_ZigZag.json,1458,715,110,240
NMEApD_50pts_ZigZag.json,1458,718,110,250
NMEApD_50pts_ZigZag.json,1458,680,120,100
NMEApD_50pts_ZigZag.json,1458,683,120,110
NMEApD_50pts_ZigZag.json,1458,685,120,120
NMEApD_50pts_ZigZag.json,1458,688,120,130
NMEApD_50pts_ZigZag.json,1458,690,120,140
NMEApD_50pts_ZigZag.json,1458,693,120,150
NMEApD_50pts_ZigZag.json,1458,695,120,160
NMEApD_50pts_ZigZag.json,1458,698,120,170
NMEApD_50pts_ZigZag.json,1458,700,120,180
NMEApD_50pts_ZigZag.json,1458,703,120,190
NMEApD_50pts_ZigZag.json,1458,705,120,200
NMEApD_50pts_ZigZag.json,1458,708,120,210
NMEApD_50pts_ZigZag.json,1458,710,120,220
NMEApD_50pts_ZigZag.json,1458,713,120,230
NMEApD_50pts_ZigZag.json,1458,715,120,240
NMEApD_50pts_ZigZag.json,1458,718,120,250
NMEApD_50pts_ZigZag.json,1458,704,130,100
NMEApD_50pts_ZigZag.json,1458,707,130,110
NMEApD_50pts_ZigZag.json,1458,709,130,120
NMEApD_50pts_ZigZag.json,1458,712,130,130
NMEApD_50pts_ZigZag.json,1458,714,130,140
NMEApD_50pts_ZigZag.json,1458,717,130,150
NMEApD_50pts_ZigZag.json,1458,719,130,160
NMEApD_50pts_ZigZag.json,1458,722,130,170
NMEApD_50pts_ZigZag.json,1458,724,130,180
NMEApD_50pts_ZigZag.json,1458,727,130,190
NMEApD_50pts_ZigZag.json,1458,729,130,200
NMEApD_50pts_ZigZag.json,1458,732,130,210
NMEApD_50pts_ZigZag.json,1458,734,130,220
NMEApD_50pts_ZigZag.json,1458,737,130,230
NMEApD_50pts_ZigZag.json,1458,739,130,240
NMEApD_50pts_ZigZag.json,1458,742,130,250
NMEApD_50pts_ZigZag.json,1458,704,140,100
NMEApD_50pts_ZigZag.json,1458,707,140,110
NMEApD_50pts_ZigZag.json,1458,709,140,120
NMEApD_50pts_ZigZag.json,1458,712,140,130
NMEApD_50pts_ZigZag.json,1458,714,140,140
NMEApD_50pts_ZigZag.json,1458,717,140,150
NMEApD_50pts_ZigZag.json,1458,719,140,160
NMEApD_50pts_ZigZag.json,1458,722,140,170
NMEApD_50pts_ZigZag.json,1458,724,140,180
NMEApD_50pts_ZigZag.json,1458,727,140,190
NMEApD_50pts_ZigZag.json,1458,729,140,200
NMEApD_50pts_ZigZag.json,1458,732,140,210
NMEApD_50pts_ZigZag.json,1458,734,140,220
NMEApD_50pts_ZigZag.json,1458,737,140,230
NMEApD_50pts_ZigZag.json,1458,739,140,240
NMEApD_50pts_ZigZag.json,1458,742,140,250
NMEApD_50pts_ZigZag.json,1458,690,150,100
NMEApD_50pts_ZigZag.json,1458,693,150,110
