Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEAperimetroZI100.json,1765,1122,100,100
NMEAperimetroZI100.json,1765,1125,100,110
NMEAperimetroZI100.json,1765,1127,100,120
NMEAperimetroZI100.json,1765,1130,100,130
NMEAperimetroZI100.json,1765,1132,100,140
NMEAperimetroZI100.json,1765,1135,100,150
NMEAperimetroZI100.json,1765,1137,100,160
NMEAperimetroZI100.json,1765,1140,100,170
NMEAperimetroZI100.json,1765,1142,100,180
NMEAperimetroZI100.json,1765,1145,100,190
NMEAperimetroZI100.json,1765,1147,100,200
NMEAperimetroZI100.json,1765,1150,100,210
NMEAperimetroZI100.json,1765,1152,100,220
NMEAperimetroZI100.json,1765,1155,100,230
NMEAperimetroZI100.json,1765,1157,100,240
NMEAperimetroZI100.json,1765,1160,100,250
NMEAperimetroZI100.json,1765,1122,110,100
NMEAperimetroZI100.json,1765,1125,110,110
NMEAperimetroZI100.json,1765,1127,110,120
NMEAperimetroZI100.json,1765,1130,110,130
NMEAperimetroZI100.json,1765,1132,110,140
NMEAperimetroZI100.json,1765,1135,110,150
NMEAperimetroZI100.json,1765,1137,110,160
NMEAperimetroZI100.json,1765,1140,110,170
NMEAperimetroZI100.json,1765,1142,110,180
NMEAperimetroZI100.json,1765,1145,110,190
NMEAperimetroZI100.json,1765,1147,110,200
NMEAperimetroZI100.json,1765,1150,110,210
NMEAperimetroZI100.json,1765,1152,110,220
NMEAperimetroZI100.json,1765,1155,110,230
NMEAperimetroZI100.json,1765,1157,110,240
NMEAperimetroZI100.json,1765,1160,110,250
NMEAperimetroZI100.json,1765,1122,120,100
NMEAperimetroZI100.json,1765,1125,120,110
NMEAperimetroZI100.json,1765,1127,120,120
NMEAperimetroZI100.json,1765,1130,120,130
NMEAperimetroZI100.json,1765,1132,120,140
NMEAperimetroZI100.json,1765,1135,120,150
NMEAperimetroZI100.json,1765,1137,120,160
NMEAperimetroZI100.json,1765,1140,120,170
NMEAperimetroZI100.json,1765,1142,120,180
NMEAperimetroZI100.json,1765,1145,120,190
NMEAperimetroZI100.json,1765,1147,120,200
NMEAperimetroZI100.json,1765,1150,120,210
NMEAperimetroZI100.json,1765,1152,120,220
NMEAperimetroZI100.json,1765,1155,120,230
NMEAperimetroZI100.json,1765,1157,120,240
NMEAperimetroZI100.json,1765,1160,120,250
NMEAperimetroZI100.json,1765,1159,130,100
NMEAperimetroZI100.json,1765,1162,130,110
NMEAperimetroZI100.json,1765,1164,130,120
NMEAperimetroZI100.json,1765,1167,130,130
NMEAperimetroZI100.json,1765,1169,130,140
NMEAperimetroZI100.json,1765,1172,130,150
