Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEArossio-atalaiao100.json,1171,1075,100,100
NMEArossio-atalaiao100.json,1171,1078,100,110
NMEArossio-atalaiao100.json,1171,1080,100,120
NMEArossio-atalaiao100.json,1171,1083,100,130
NMEArossio-atalaiao100.json,1171,1085,100,140
NMEArossio-atalaiao100.json,1171,1088,100,150
NMEArossio-atalaiao100.json,1171,1090,100,160
NMEArossio-atalaiao100.json,1171,1093,100,170
NMEArossio-atalaiao100.json,1171,1095,100,180
NMEArossio-atalaiao100.json,1171,1098,100,190
NMEArossio-atalaiao100.json,1171,1100,100,200
NMEArossio-atalaiao100.json,1171,1103,100,210
NMEArossio-atalaiao100.json,1171,1105,100,220
NMEArossio-atalaiao100.json,1171,1108,100,230
NMEArossio-atalaiao100.json,1171,1110,100,240
NMEArossio-atalaiao100.json,1171,1113,100,250
NMEArossio-atalaiao100.json,1171,1075,110,100
NMEArossio-atalaiao100.json,1171,1078,110,110
NMEArossio-atalaiao100.json,1171,1080,110,120
NMEArossio-atalaiao100.json,1171,1083,110,130
NMEArossio-atalaiao100.json,1171,1085,110,140
NMEArossio-atalaiao100.json,1171,1088,110,150
NMEArossio-atalaiao100.json,1171,1090,110,160
NMEArossio-atalaiao100.json,1171,1093,110,170
NMEArossio-atalaiao100.json,1171,1095,110,180
NMEArossio-atalaiao100.json,1171,1098,110,190
NMEArossio-atalaiao100.json,1171,1100,110,200
NMEArossio-atalaiao100.json,1171,1103,110,210
NMEArossio-atalaiao100.json,1171,1105,110,220
NMEArossio-atalaiao100.json,1171,1108,110,230
NMEArossio-atalaiao100.json,1171,1110,110,240
NMEArossio-atalaiao100.json,1171,1113,110,250
NMEArossio-atalaiao100.json,1171,1075,120,100
NMEArossio-atalaiao100.json,1171,1078,120,110
NMEArossio-atalaiao100.json,1171,1080,120,120
NMEArossio-atalaiao100.json,1171,1083,120,130
NMEArossio-atalaiao100.json,1171,1085,120,140
NMEArossio-atalaiao100.json,1171,1088,120,150
NMEArossio-atalaiao100.json,1171,1090,120,160
NMEArossio-atalaiao100.json,1171,1093,120,170
NMEArossio-atalaiao100.json,1171,1095,120,180
NMEArossio-atalaiao100.json,1171,1098,120,190
