Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEArossio-estg100.json,1732,1176,100,100
NMEArossio-estg100.json,1732,1179,100,110
NMEArossio-estg100.json,1732,1181,100,120
NMEArossio-estg100.json,1732,1184,100,130
NMEArossio-estg100.json,1732,1186,100,140
NMEArossio-estg100.json,1732,1189,100,150
NMEArossio-estg100.json,1732,1191,100,160
NMEArossio-estg100.json,1732,1194,100,170
NMEArossio-estg100.json,1732,1196,100,180
NMEArossio-estg100.json,1732,1199,100,190
NMEArossio-estg100.json,1732,1201,100,200
NMEArossio-estg100.json,1732,1204,100,210
NMEArossio-estg100.json,1732,1206,100,220
NMEArossio-estg100.json,1732,1209,100,230
NMEArossio-estg100.json,1732,1211,100,240
NMEArossio-estg100.json,1732,1214,100,250
NMEArossio-estg100.json,1732,1176,110,100
NMEArossio-estg100.json,1732,1179,110,110
NMEArossio-estg100.json,1732,1181,110,120
NMEArossio-estg100.json,1732,1184,110,130
NMEArossio-estg100.json,1732,1186,110,140
NMEArossio-estg100.json,1732,1189,110,150
NMEArossio-estg100.json,1732,1191,110,160
NMEArossio-estg100.json,1732,1194,110,170
NMEArossio-estg100.json,1732,1196,110,180
NMEArossio-estg100.json,1732,1199,110,190
NMEArossio-estg100.json,1732,1201,110,200
NMEArossio-estg100.json,1732,1204,110,210
NMEArossio-estg100.json,1732,1206,110,220
NMEArossio-estg100.json,1732,1209,110,230
NMEArossio-estg100.json,1732,1211,110,240
NMEArossio-estg100.json,1732,1214,110,250
NMEArossio-estg100.json,1732,1176,120,100
NMEArossio-estg100.json,1732,1179,120,110
NMEArossio-estg100.json,1732,1181,120,120
NMEArossio-estg100.json,1732,1184,120,130
NMEArossio-estg100.json,1732,1186,120,140
NMEArossio-estg100.json,1732,1189,120,150
NMEArossio-estg100.json,1732,1191,120,160
NMEArossio-estg100.json,1732,1194,120,170
NMEArossio-estg100.json,1732,1196,120,180
NMEArossio-estg100.json,1732,1199,120,190
NMEArossio-estg100.json,1732,1201,120,200
NMEArossio-estg100.json,1732,1204,120,210
NMEArossio-estg100.json,1732,1206,120,220
NMEArossio-estg100.json,1732,1209,120,230
NMEArossio-estg100.json,1732,1211,120,240
NMEArossio-estg100.json,1732,1214,120,250
NMEArossio-estg100.json,1732,1219,130,100
NMEArossio-estg100.json,1732,1221,130,110
NMEArossio-estg100.json,1732,1224,130,120
NMEArossio-estg100.json,1732,1226,130,130
NMEArossio-estg100.json,1732,1229,130,140
NMEArossio-estg100.json,1732,1231,130,150
NMEArossio-estg100.json,1732,1234,130,160
NMEArossio-estg100.json,1732,1236,130,170
NMEArossio-estg100.json,1732,1239,130,180
NMEArossio-estg100.json,1732,1241,130,190
NMEArossio-estg100.json,1732,1244,130,200
NMEArossio-estg100.json,1732,1246,130,210
NMEArossio-estg100.json,1732,1249,130,220
NMEArossio-estg100.json,1732,1251,130,230
NMEArossio-estg100.json,1732,1254,130,240
NMEArossio-estg100.json,1732,1256,130,250
NMEArossio-estg100.json,1732,1212,140,100
NMEArossio-estg100.json,1732,1214,140,110
NMEArossio-estg100.json,1732,1217,140,120
NMEArossio-estg100.json,1732,1219,140,130
NMEArossio-estg100.json,1732,1222,140,140
NMEArossio-estg100.json,1732,1224,140,150
NMEArossio-estg100.json,1732,1227,140,160
NMEArossio-estg100.json,1732,1229,140,170
NMEArossio-estg100.json,1732,1232,140,180
NMEArossio-estg100.json,1732,1234,140,190
NMEArossio-estg100.json,1732,1237,140,200
NMEArossio-estg100.json,1732,1239,140,210
NMEArossio-estg100.json,1732,1242,140,220
NMEArossio-estg100.json,1732,1244,140,230
NMEArossio-estg100.json,1732,1247,140,240
NMEArossio-estg100.json,1732,1249,140,250
NMEArossio-estg100.json,1732,1208,150,100
NMEArossio-estg100.json,1732,1211,150,110
NMEArossio-estg100.json,1732,1213,150,120
NMEArossio-estg100.json,1732,1216,150,130
NMEArossio-estg100.json,1732,1218,150,140
NMEArossio-estg100.json,1732,1221,150,150
NMEArossio-estg100.json,1732,1223,150,160
NMEArossio-estg100.json,1732,1226,150,170
NMEArossio-estg100.json,1732,1228,150,180
NMEArossio-estg100.json,1732,1231,150,190
NMEArossio-estg100.json,1732,1233,150,200
NMEArossio-estg100.json,1732,1236,150,210
NMEArossio-estg100.json,1732,1238,150,220
NMEArossio-estg100.json,1732,1241,150,230
NMEArossio-estg100.json,1732,1243,150,240
NMEArossio-estg100.json,1732,1246,150,250
NMEArossio-estg100.json,1732,1208,160,100
NMEArossio-estg100.json,1732,1211,160,110
NMEArossio-estg100.json,1732,1213,160,120
NMEArossio-estg100.json,1732,1216,160,130
NMEArossio-estg100.json,1732,1218,160,140
NMEArossio-estg100.json,1732,1221,160,150
NMEArossio-estg100.json,1732,1223,160,160
NMEArossio-estg100.json,1732,1226,160,170
NMEArossio-estg100.json,1732,1228,160,180
NMEArossio-estg100.json,1732,1231,160,190
NMEArossio-estg100.json,1732,1233,160,200
NMEArossio-estg100.json,1732,1236,160,210
NMEArossio-estg100.json,1732,1238,160,220
NMEArossio-estg100.json,1732,1241,160,230
NMEArossio-estg100.json,1732,1243,160,240
NMEArossio-estg100.json,1732,1246,160,250
NMEArossio-estg100.json,1732,1208,170,100
NMEArossio-estg100.json,1732,1211,170,110
NMEArossio-estg100.json,1732,1213,170,120
NMEArossio-estg100.json,1732,1216,170,130
NMEArossio-estg100.json,1732,1218,170,140
NMEArossio-estg100.json,1732,1221,170,150
NMEArossio-estg100.json,1732,1223,170,160
NMEArossio-estg100.json,1732,1226,170,170
NMEArossio-estg100.json,1732,1228,170,180
NMEArossio-estg100.json,1732,1231,170,190
NMEArossio-estg100.json,1732,1233,170,200
NMEArossio-estg100.json,1732,1236,170,210
NMEArossio-estg100.json,1732,1238,170,220
NMEArossio-estg100.json,1732,1241,170,230
NMEArossio-estg100.json,1732,1243,170,240
NMEArossio-estg100.json,1732,1246,170,250
NMEArossio-estg100.json,1732,1208,180,100
NMEArossio-estg100.json,1732,1211,180,110
NMEArossio-estg100.json,1732,1213,180,120
NMEArossio-estg100.json,1732,1216,180,130
NMEArossio-estg100.json,1732,1218,180,140
NMEArossio-estg100.json,1732,1221,180,150
NMEArossio-estg100.json,1732,1223,180,160
NMEArossio-estg100.json,1732,1226,180,170
NMEArossio-estg100.json,1732,1228,180,180
NMEArossio-estg100.json,1732,1231,180,190
NMEArossio-estg100.json,1732,1233,180,200
NMEArossio-estg100.json,1732,1236,180,210
NMEArossio-estg100.json,1732,1238,180,220
NMEArossio-estg100.json,1732,1241,180,230
NMEArossio-estg100.json,1732,1243,180,240
NMEArossio-estg100.json,1732,1246,180,250
NMEArossio-estg100.json,1732,1208,190,100
