Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEAzigzagestadio100.json,2736,1180,100,100
NMEAzigzagestadio100.json,2736,1182,100,110
NMEAzigzagestadio100.json,2736,1185,100,120
NMEAzigzagestadio100.json,2736,1187,100,130
NMEAzigzagestadio100.json,2736,1190,100,140
NMEAzigzagestadio100.json,2736,1192,100,150
NMEAzigzagestadio100.json,2736,1195,100,160
NMEAzigzagestadio100.json,2736,1197,100,170
NMEAzigzagestadio100.json,2736,1200,100,180
NMEAzigzagestadio100.json,2736,1202,100,190
NMEAzigzagestadio100.json,2736,1205,100,200
NMEAzigzagestadio100.json,2736,1207,100,210
NMEAzigzagestadio100.json,2736,1210,100,220
NMEAzigzagestadio100.json,2736,1212,100,230
NMEAzigzagestadio100.json,2736,1215,100,240
NMEAzigzagestadio100.json,2736,1217,100,250
NMEAzigzagestadio100.json,2736,1176,110,100
NMEAzigzagestadio100.json,2736,1179,110,110
NMEAzigzagestadio100.json,2736,1181,110,120
NMEAzigzagestadio100.json,2736,1184,110,130
NMEAzigzagestadio100.json,2736,1186,110,140
NMEAzigzagestadio100.json,2736,1189,110,150
NMEAzigzagestadio100.json,2736,1191,110,160
NMEAzigzagestadio100.json,2736,1194,110,170
NMEAzigzagestadio100.json,2736,1196,110,180
NMEAzigzagestadio100.json,2736,1199,110,190
NMEAzigzagestadio100.json,2736,1201,110,200
NMEAzigzagestadio100.json,2736,1204,110,210
NMEAzigzagestadio100.json,2736,1206,110,220
NMEAzigzagestadio100.json,2736,1209,110,230
NMEAzigzagestadio100.json,2736,1211,110,240
NMEAzigzagestadio100.json,2736,1214,110,250
NMEAzigzagestadio100.json,2736,1176,120,100
NMEAzigzagestadio100.json,2736,1179,120,110
NMEAzigzagestadio100.json,2736,1181,120,120
NMEAzigzagestadio100.json,2736,1184,120,130
NMEAzigzagestadio100.json,2736,1186,120,140
NMEAzigzagestadio100.json,2736,1189,120,150
NMEAzigzagestadio100.json,2736,1191,120,160
NMEAzigzagestadio100.json,2736,1194,120,170
NMEAzigzagestadio100.json,2736,1196,120,180
NMEAzigzagestadio100.json,2736,1199,120,190
NMEAzigzagestadio100.json,2736,1201,120,200
NMEAzigzagestadio100.json,2736,1204,120,210
NMEAzigzagestadio100.json,2736,1206,120,220
NMEAzigzagestadio100.json,2736,1209,120,230
NMEAzigzagestadio100.json,2736,1211,120,240
NMEAzigzagestadio100.json,2736,1214,120,250
NMEAzigzagestadio100.json,2736,1219,130,100
NMEAzigzagestadio100.json,2736,1221,130,110
NMEAzigzagestadio100.json,2736,1224,130,120
NMEAzigzagestadio100.json,2736,1226,130,130
NMEAzigzagestadio100.json,2736,1229,130,140
NMEAzigzagestadio100.json,2736,1231,130,150
NMEAzigzagestadio100.json,2736,1234,130,160
NMEAzigzagestadio100.json,2736,1236,130,170
NMEAzigzagestadio100.json,2736,1239,130,180
NMEAzigzagestadio100.json,2736,1241,130,190
NMEAzigzagestadio100.json,2736,1244,130,200
NMEAzigzagestadio100.json,2736,1246,130,210
NMEAzigzagestadio100.json,2736,1249,130,220
NMEAzigzagestadio100.json,2736,1251,130,230
NMEAzigzagestadio100.json,2736,1254,130,240
NMEAzigzagestadio100.json,2736,1256,130,250
NMEAzigzagestadio100.json,2736,1219,140,100
NMEAzigzagestadio100.json,2736,1221,140,110
NMEAzigzagestadio100.json,2736,1224,140,120
NMEAzigzagestadio100.json,2736,1226,140,130
NMEAzigzagestadio100.json,2736,1229,140,140
NMEAzigzagestadio100.json,2736,1231,140,150
NMEAzigzagestadio100.json,2736,1234,140,160
NMEAzigzagestadio100.json,2736,1236,140,170
NMEAzigzagestadio100.json,2736,1239,140,180
NMEAzigzagestadio100.json,2736,1241,140,190
NMEAzigzagestadio100.json,2736,1244,140,200
NMEAzigzagestadio100.json,2736,1246,140,210
NMEAzigzagestadio100.json,2736,1249,140,220
NMEAzigzagestadio100.json,2736,1251,140,230
NMEAzigzagestadio100.json,2736,1254,140,240
