Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEArossio-carreiras200.json,3365,1980,100,100
NMEArossio-carreiras200.json,3365,1982,100,110
NMEArossio-carreiras200.json,3365,1985,100,120
NMEArossio-carreiras200.json,3365,1987,100,130
NMEArossio-carreiras200.json,3365,1990,100,140
NMEArossio-carreiras200.json,3365,1992,100,150
NMEArossio-carreiras200.json,3365,1995,100,160
NMEArossio-carreiras200.json,3365,1997,100,170
NMEArossio-carreiras200.json,3365,2000,100,180
NMEArossio-carreiras200.json,3365,2002,100,190
NMEArossio-carreiras200.json,3365,2005,100,200
NMEArossio-carreiras200.json,3365,2007,100,210
NMEArossio-carreiras200.json,3365,2010,100,220
NMEArossio-carreiras200.json,3365,2012,100,230
NMEArossio-carreiras200.json,3365,2015,100,240
NMEArossio-carreiras200.json,3365,2017,100,250
NMEArossio-carreiras200.json,3365,1976,110,100
NMEArossio-carreiras200.json,3365,1979,110,110
NMEArossio-carreiras200.json,3365,1981,110,120
NMEArossio-carreiras200.json,3365,1984,110,130
NMEArossio-carreiras200.json,3365,1986,110,140
NMEArossio-carreiras200.json,3365,1989,110,150
NMEArossio-carreiras200.json,3365,1991,110,160
NMEArossio-carreiras200.json,3365,1994,110,170
NMEArossio-carreiras200.json,3365,1996,110,180
NMEArossio-carreiras200.json,3365,1999,110,190
NMEArossio-carreiras200.json,3365,2001,110,200
NMEArossio-carreiras200.json,3365,2004,110,210
NMEArossio-carreiras200.json,3365,2006,110,220
NMEArossio-carreiras200.json,3365,2009,110,230
NMEArossio-carreiras200.json,3365,2011,110,240
NMEArossio-carreiras200.json,3365,2014,110,250
NMEArossio-carreiras200.json,3365,1973,120,100
NMEArossio-carreiras200.json,3365,1975,120,110
NMEArossio-carreiras200.json,3365,1978,120,120
NMEArossio-carreiras200.json,3365,1980,120,130
NMEArossio-carreiras200.json,3365,1983,120,140
NMEArossio-carreiras200.json,3365,1985,120,150
NMEArossio-carreiras200.json,3365,1988,120,160
NMEArossio-carreiras200.json,3365,1990,120,170
NMEArossio-carreiras200.json,3365,1993,120,180
NMEArossio-carreiras200.json,3365,1995,120,190
NMEArossio-carreiras200.json,3365,1998,120,200
NMEArossio-carreiras200.json,3365,2000,120,210
NMEArossio-carreiras200.json,3365,2003,120,220
NMEArossio-carreiras200.json,3365,2005,120,230
NMEArossio-carreiras200.json,3365,2008,120,240
NMEArossio-carreiras200.json,3365,2010,120,250
NMEArossio-carreiras200.json,3365,2045,130,100
NMEArossio-carreiras200.json,3365,2047,130,110
NMEArossio-carreiras200.json,3365,2050,130,120
NMEArossio-carreiras200.json,3365,2052,130,130
NMEArossio-carreiras200.json,3365,2055,130,140
NMEArossio-carreiras200.json,3365,2057,130,150
NMEArossio-carreiras200.json,3365,2060,130,160
NMEArossio-carreiras200.json,3365,2062,130,170
NMEArossio-carreiras200.json,3365,2065,130,180
