Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEArossio-urra200.json,6629,2145,100,100
NMEArossio-urra200.json,6629,2147,100,110
NMEArossio-urra200.json,6629,2150,100,120
NMEArossio-urra200.json,6629,2152,100,130
NMEArossio-urra200.json,6629,2155,100,140
NMEArossio-urra200.json,6629,2157,100,150
NMEArossio-urra200.json,6629,2160,100,160
NMEArossio-urra200.json,6629,2162,100,170
NMEArossio-urra200.json,6629,2165,100,180
NMEArossio-urra200.json,6629,2167,100,190
NMEArossio-urra200.json,6629,2170,100,200
NMEArossio-urra200.json,6629,2172,100,210
NMEArossio-urra200.json,6629,2175,100,220
NMEArossio-urra200.json,6629,2177,100,230
NMEArossio-urra200.json,6629,2180,100,240
NMEArossio-urra200.json,6629,2182,100,250
NMEArossio-urra200.json,6629,2131,110,100
NMEArossio-urra200.json,6629,2134,110,110
NMEArossio-urra200.json,6629,2136,110,120
NMEArossio-urra200.json,6629,2139,110,130
NMEArossio-urra200.json,6629,2141,110,140
NMEArossio-urra200.json,6629,2144,110,150
NMEArossio-urra200.json,6629,2146,110,160
NMEArossio-urra200.json,6629,2149,110,170
NMEArossio-urra200.json,6629,2151,110,180
NMEArossio-urra200.json,6629,2154,110,190
NMEArossio-urra200.json,6629,2156,110,200
NMEArossio-urra200.json,6629,2159,110,210
NMEArossio-urra200.json,6629,2161,110,220
NMEArossio-urra200.json,6629,2164,110,230
NMEArossio-urra200.json,6629,2166,110,240
NMEArossio-urra200.json,6629,2169,110,250
NMEArossio-urra200.json,6629,2118,120,100
NMEArossio-urra200.json,6629,2120,120,110
NMEArossio-urra200.json,6629,2123,120,120
NMEArossio-urra200.json,6629,2125,120,130
NMEArossio-urra200.json,6629,2128,120,140
NMEArossio-urra200.json,6629,2130,120,150
NMEArossio-urra200.json,6629,2133,120,160
NMEArossio-urra200.json,6629,2135,120,170
NMEArossio-urra200.json,6629,2138,120,180
NMEArossio-urra200.json,6629,2140,120,190
NMEArossio-urra200.json,6629,2143,120,200
NMEArossio-urra200.json,6629,2145,120,210
NMEArossio-urra200.json,6629,2148,120,220
NMEArossio-urra200.json,6629,2150,120,230
NMEArossio-urra200.json,6629,2153,120,240
NMEArossio-urra200.json,6629,2155,120,250
NMEArossio-urra200.json,6629,2181,130,100
