Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEAzigzagportalegre200.json,3365,2013,100,100
NMEAzigzagportalegre200.json,3365,2016,100,110
NMEAzigzagportalegre200.json,3365,2018,100,120
NMEAzigzagportalegre200.json,3365,2021,100,130
NMEAzigzagportalegre200.json,3365,2023,100,140
NMEAzigzagportalegre200.json,3365,2026,100,150
NMEAzigzagportalegre200.json,3365,2028,100,160
NMEAzigzagportalegre200.json,3365,2031,100,170
NMEAzigzagportalegre200.json,3365,2033,100,180
NMEAzigzagportalegre200.json,3365,2036,100,190
NMEAzigzagportalegre200.json,3365,2038,100,200
NMEAzigzagportalegre200.json,3365,2041,100,210
NMEAzigzagportalegre200.json,3365,2043,100,220
NMEAzigzagportalegre200.json,3365,2046,100,230
NMEAzigzagportalegre200.json,3365,2048,100,240
NMEAzigzagportalegre200.json,3365,2051,100,250
NMEAzigzagportalegre200.json,3365,2010,110,100
NMEAzigzagportalegre200.json,3365,2012,110,110
NMEAzigzagportalegre200.json,3365,2015,110,120
NMEAzigzagportalegre200.json,3365,2017,110,130
NMEAzigzagportalegre200.json,3365,2020,110,140
NMEAzigzagportalegre200.json,3365,2022,110,150
NMEAzigzagportalegre200.json,3365,2025,110,160
NMEAzigzagportalegre200.json,3365,2027,110,170
NMEAzigzagportalegre200.json,3365,2030,110,180
NMEAzigzagportalegre200.json,3365,2032,110,190
NMEAzigzagportalegre200.json,3365,2035,110,200
NMEAzigzagportalegre200.json,3365,2037,110,210
NMEAzigzagportalegre200.json,3365,2040,110,220
NMEAzigzagportalegre200.json,3365,2042,110,230
NMEAzigzagportalegre200.json,3365,2045,110,240
NMEAzigzagportalegre200.json,3365,2047,110,250
NMEAzigzagportalegre200.json,3365,2010,120,100
NMEAzigzagportalegre200.json,3365,2012,120,110
NMEAzigzagportalegre200.json,3365,2015,120,120
NMEAzigzagportalegre200.json,3365,2017,120,130
NMEAzigzagportalegre200.json,3365,2020,120,140
NMEAzigzagportalegre200.json,3365,2022,120,150
NMEAzigzagportalegre200.json,3365,2025,120,160
NMEAzigzagportalegre200.json,3365,2027,120,170
NMEAzigzagportalegre200.json,3365,2030,120,180
NMEAzigzagportalegre200.json,3365,2032,120,190
NMEAzigzagportalegre200.json,3365,2035,120,200
NMEAzigzagportalegre200.json,3365,2037,120,210
NMEAzigzagportalegre200.json,3365,2040,120,220
NMEAzigzagportalegre200.json,3365,2042,120,230
NMEAzigzagportalegre200.json,3365,2045,120,240
NMEAzigzagportalegre200.json,3365,2047,120,250
NMEAzigzagportalegre200.json,3365,2083,130,100
NMEAzigzagportalegre200.json,3365,2086,130,110
NMEAzigzagportalegre200.json,3365,2088,130,120
NMEAzigzagportalegre200.json,3365,2091,130,130
NMEAzigzagportalegre200.json,3365,2093,130,140
NMEAzigzagportalegre200.json,3365,2096,130,150
NMEAzigzagportalegre200.json,3365,2098,130,160
NMEAzigzagportalegre200.json,3365,2101,130,170
NMEAzigzagportalegre200.json,3365,2103,130,180
NMEAzigzagportalegre200.json,3365,2106,130,190
NMEAzigzagportalegre200.json,3365,2108,130,200
NMEAzigzagportalegre200.json,3365,2111,130,210
NMEAzigzagportalegre200.json,3365,2113,130,220
NMEAzigzagportalegre200.json,3365,2116,130,230
NMEAzigzagportalegre200.json,3365,2118,130,240
NMEAzigzagportalegre200.json,3365,2121,130,250
NMEAzigzagportalegre200.json,3365,2083,140,100
NMEAzigzagportalegre200.json,3365,2086,140,110
NMEAzigzagportalegre200.json,3365,2088,140,120
NMEAzigzagportalegre200.json,3365,2091,140,130
NMEAzigzagportalegre200.json,3365,2093,140,140
NMEAzigzagportalegre200.json,3365,2096,140,150
NMEAzigzagportalegre200.json,3365,2098,140,160
NMEAzigzagportalegre200.json,3365,2101,140,170
