Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEAperimetroportalegre200.json,5361,2057,100,100
NMEAperimetroportalegre200.json,5361,2060,100,110
NMEAperimetroportalegre200.json,5361,2062,100,120
NMEAperimetroportalegre200.json,5361,2065,100,130
NMEAperimetroportalegre200.json,5361,2067,100,140
NMEAperimetroportalegre200.json,5361,2070,100,150
NMEAperimetroportalegre200.json,5361,2072,100,160
NMEAperimetroportalegre200.json,5361,2075,100,170
NMEAperimetroportalegre200.json,5361,2077,100,180
NMEAperimetroportalegre200.json,5361,2080,100,190
NMEAperimetroportalegre200.json,5361,2082,100,200
NMEAperimetroportalegre200.json,5361,2085,100,210
NMEAperimetroportalegre200.json,5361,2087,100,220
NMEAperimetroportalegre200.json,5361,2090,100,230
NMEAperimetroportalegre200.json,5361,2092,100,240
NMEAperimetroportalegre200.json,5361,2095,100,250
NMEAperimetroportalegre200.json,5361,2054,110,100
NMEAperimetroportalegre200.json,5361,2056,110,110
NMEAperimetroportalegre200.json,5361,2059,110,120
NMEAperimetroportalegre200.json,5361,2061,110,130
NMEAperimetroportalegre200.json,5361,2064,110,140
NMEAperimetroportalegre200.json,5361,2066,110,150
NMEAperimetroportalegre200.json,5361,2069,110,160
NMEAperimetroportalegre200.json,5361,2071,110,170
NMEAperimetroportalegre200.json,5361,2074,110,180
NMEAperimetroportalegre200.json,5361,2076,110,190
NMEAperimetroportalegre200.json,5361,2079,110,200
NMEAperimetroportalegre200.json,5361,2081,110,210
NMEAperimetroportalegre200.json,5361,2084,110,220
NMEAperimetroportalegre200.json,5361,2086,110,230
NMEAperimetroportalegre200.json,5361,2089,110,240
NMEAperimetroportalegre200.json,5361,2091,110,250
NMEAperimetroportalegre200.json,5361,2044,120,100
NMEAperimetroportalegre200.json,5361,2046,120,110
NMEAperimetroportalegre200.json,5361,2049,120,120
NMEAperimetroportalegre200.json,5361,2051,120,130
NMEAperimetroportalegre200.json,5361,2054,120,140
NMEAperimetroportalegre200.json,5361,2056,120,150
NMEAperimetroportalegre200.json,5361,2059,120,160
NMEAperimetroportalegre200.json,5361,2061,120,170
NMEAperimetroportalegre200.json,5361,2064,120,180
NMEAperimetroportalegre200.json,5361,2066,120,190
NMEAperimetroportalegre200.json,5361,2069,120,200
NMEAperimetroportalegre200.json,5361,2071,120,210
NMEAperimetroportalegre200.json,5361,2074,120,220
NMEAperimetroportalegre200.json,5361,2076,120,230
NMEAperimetroportalegre200.json,5361,2079,120,240
NMEAperimetroportalegre200.json,5361,2081,120,250
