Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEArossio-carreiras200.json,5361,2054,100,100
NMEArossio-carreiras200.json,5361,2056,100,110
NMEArossio-carreiras200.json,5361,2059,100,120
NMEArossio-carreiras200.json,5361,2061,100,130
NMEArossio-carreiras200.json,5361,2064,100,140
NMEArossio-carreiras200.json,5361,2066,100,150
NMEArossio-carreiras200.json,5361,2069,100,160
NMEArossio-carreiras200.json,5361,2071,100,170
NMEArossio-carreiras200.json,5361,2074,100,180
NMEArossio-carreiras200.json,5361,2076,100,190
NMEArossio-carreiras200.json,5361,2079,100,200
NMEArossio-carreiras200.json,5361,2081,100,210
NMEArossio-carreiras200.json,5361,2084,100,220
NMEArossio-carreiras200.json,5361,2086,100,230
NMEArossio-carreiras200.json,5361,2089,100,240
NMEArossio-carreiras200.json,5361,2091,100,250
NMEArossio-carreiras200.json,5361,2047,110,100
NMEArossio-carreiras200.json,5361,2050,110,110
NMEArossio-carreiras200.json,5361,2052,110,120
NMEArossio-carreiras200.json,5361,2055,110,130
NMEArossio-carreiras200.json,5361,2057,110,140
NMEArossio-carreiras200.json,5361,2060,110,150
NMEArossio-carreiras200.json,5361,2062,110,160
NMEArossio-carreiras200.json,5361,2065,110,170
NMEArossio-carreiras200.json,5361,2067,110,180
NMEArossio-carreiras200.json,5361,2070,110,190
NMEArossio-carreiras200.json,5361,2072,110,200
NMEArossio-carreiras200.json,5361,2075,110,210
NMEArossio-carreiras200.json,5361,2077,110,220
NMEArossio-carreiras200.json,5361,2080,110,230
NMEArossio-carreiras200.json,5361,2082,110,240
NMEArossio-carreiras200.json,5361,2085,110,250
NMEArossio-carreiras200.json,5361,2037,120,100
NMEArossio-carreiras200.json,5361,2039,120,110
NMEArossio-carreiras200.json,5361,2042,120,120
NMEArossio-carreiras200.json,5361,2044,120,130
NMEArossio-carreiras200.json,5361,2047,120,140
NMEArossio-carreiras200.json,5361,2049,120,150
NMEArossio-carreiras200.json,5361,2052,120,160
NMEArossio-carreiras200.json,5361,2054,120,170
NMEArossio-carreiras200.json,5361,2057,120,180
NMEArossio-carreiras200.json,5361,2059,120,190
NMEArossio-carreiras200.json,5361,2062,120,200
NMEArossio-carreiras200.json,5361,2064,120,210
NMEArossio-carreiras200.json,5361,2067,120,220
NMEArossio-carreiras200.json,5361,2069,120,230
NMEArossio-carreiras200.json,5361,2072,120,240
NMEArossio-carreiras200.json,5361,2074,120,250
NMEArossio-carreiras200.json,5361,2111,130,100
NMEArossio-carreiras200.json,5361,2114,130,110
NMEArossio-carreiras200.json,5361,2116,130,120
NMEArossio-carreiras200.json,5361,2119,130,130
NMEArossio-carreiras200.json,5361,2121,130,140
NMEArossio-carreiras200.json,5361,2124,130,150
NMEArossio-carreiras200.json,5361,2126,130,160
NMEArossio-carreiras200.json,5361,2129,130,170
NMEArossio-carreiras200.json,5361,2131,130,180
NMEArossio-carreiras200.json,5361,2134,130,190
NMEArossio-carreiras200.json,5361,2136,130,200
NMEArossio-carreiras200.json,5361,2139,130,210
NMEArossio-carreiras200.json,5361,2141,130,220
NMEArossio-carreiras200.json,5361,2144,130,230
NMEArossio-carreiras200.json,5361,2146,130,240
NMEArossio-carreiras200.json,5361,2149,130,250
NMEArossio-carreiras200.json,5361,2101,140,100
NMEArossio-carreiras200.json,5361,2103,140,110
NMEArossio-carreiras200.json,5361,2106,140,120
NMEArossio-carreiras200.json,5361,2108,140,130
NMEArossio-carreiras200.json,5361,2111,140,140
NMEArossio-carreiras200.json,5361,2113,140,150
NMEArossio-carreiras200.json,5361,2116,140,160
NMEArossio-carreiras200.json,5361,2118,140,170
NMEArossio-carreiras200.json,5361,2121,140,180
NMEArossio-carreiras200.json,5361,2123,140,190
NMEArossio-carreiras200.json,5361,2126,140,200
NMEArossio-carreiras200.json,5361,2128,140,210
NMEArossio-carreiras200.json,5361,2131,140,220
NMEArossio-carreiras200.json,5361,2133,140,230
NMEArossio-carreiras200.json,5361,2136,140,240
NMEArossio-carreiras200.json,5361,2138,140,250
