Name, Original Size, LZ77 Size, LOOK_AHEAD, SEARCH_SIZE
NMEArossio-fortios200.json,5361,2040,100,100
NMEArossio-fortios200.json,5361,2043,100,110
NMEArossio-fortios200.json,5361,2045,100,120
NMEArossio-fortios200.json,5361,2048,100,130
NMEArossio-fortios200.json,5361,2050,100,140
NMEArossio-fortios200.json,5361,2053,100,150
NMEArossio-fortios200.json,5361,2055,100,160
NMEArossio-fortios200.json,5361,2058,100,170
NMEArossio-fortios200.json,5361,2060,100,180
NMEArossio-fortios200.json,5361,2063,100,190
NMEArossio-fortios200.json,5361,2065,100,200
NMEArossio-fortios200.json,5361,2068,100,210
NMEArossio-fortios200.json,5361,2070,100,220
NMEArossio-fortios200.json,5361,2073,100,230
NMEArossio-fortios200.json,5361,2075,100,240
NMEArossio-fortios200.json,5361,2078,100,250
NMEArossio-fortios200.json,5361,2030,110,100
NMEArossio-fortios200.json,5361,2033,110,110
NMEArossio-fortios200.json,5361,2035,110,120
NMEArossio-fortios200.json,5361,2038,110,130
NMEArossio-fortios200.json,5361,2040,110,140
NMEArossio-fortios200.json,5361,2043,110,150
NMEArossio-fortios200.json,5361,2045,110,160
NMEArossio-fortios200.json,5361,2048,110,170
NMEArossio-fortios200.json,5361,2050,110,180
NMEArossio-fortios200.json,5361,2053,110,190
NMEArossio-fortios200.json,5361,2055,110,200
NMEArossio-fortios200.json,5361,2058,110,210
NMEArossio-fortios200.json,5361,2060,110,220
NMEArossio-fortios200.json,5361,2063,110,230
NMEArossio-fortios200.json,5361,2065,110,240
NMEArossio-fortios200.json,5361,2068,110,250
NMEArossio-fortios200.json,5361,2023,120,100
NMEArossio-fortios200.json,5361,2026,120,110
NMEArossio-fortios200.json,5361,2028,120,120
NMEArossio-fortios200.json,5361,2031,120,130
NMEArossio-fortios200.json,5361,2033,120,140
NMEArossio-fortios200.json,5361,2036,120,150
NMEArossio-fortios200.json,5361,2038,120,160
NMEArossio-fortios200.json,5361,2041,120,170
NMEArossio-fortios200.json,5361,2043,120,180
NMEArossio-fortios200.json,5361,2046,120,190
NMEArossio-fortios200.json,5361,2048,120,200
NMEArossio-fortios200.json,5361,2051,120,210
NMEArossio-fortios200.json,5361,2053,120,220
NMEArossio-fortios200.json,5361,2056,120,230
NMEArossio-fortios200.json,5361,2058,120,240
NMEArossio-fortios200.json,5361,2061,120,250
NMEArossio-fortios200.json,5361,2094,130,100
NMEArossio-fortios200.json,5361,2096,130,110
NMEArossio-fortios200.json,5361,2099,130,120
NMEArossio-fortios200.json,5361,2101,130,130
NMEArossio-fortios200.json,5361,2104,130,140
NMEArossio-fortios200.json,5361,2106,130,150
NMEArossio-fortios200.json,5361,2109,130,160
NMEArossio-fortios200.json,5361,2111,130,170
NMEArossio-fortios200.json,5361,2114,130,180
NMEArossio-fortios200.json,5361,2116,130,190
NMEArossio-fortios200.json,5361,2119,130,200
NMEArossio-fortios200.json,5361,2121,130,210
NMEArossio-fortios200.json,5361,2124,130,220
NMEArossio-fortios200.json,5361,2126,130,230
NMEArossio-fortios200.json,5361,2129,130,240
NMEArossio-fortios200.json,5361,2131,130,250
NMEArossio-fortios200.json,5361,2083,140,100
NMEArossio-fortios200.json,5361,2086,140,110
NMEArossio-fortios200.json,5361,2088,140,120
NMEArossio-fortios200.json,5361,2091,140,130
NMEArossio-fortios200.json,5361,2093,140,140
NMEArossio-fortios200.json,5361,2096,140,150
NMEArossio-fortios200.json,5361,2098,140,160
NMEArossio-fortios200.json,5361,2101,140,170
NMEArossio-fortios200.json,5361,2103,140,180
NMEArossio-fortios200.json,5361,2106,140,190
NMEArossio-fortios200.json,5361,2108,140,200
NMEArossio-fortios200.json,5361,2111,140,210
NMEArossio-fortios200.json,5361,2113,140,220
NMEArossio-fortios200.json,5361,2116,140,230
NMEArossio-fortios200.json,5361,2118,140,240
NMEArossio-fortios200.json,5361,2121,140,250
NMEArossio-fortios200.json,5361,2073,150,100
NMEArossio-fortios200.json,5361,2075,150,110
NMEArossio-fortios200.json,5361,2078,150,120
